provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
Melilla,2020,6,6,6,0,100.0
Melilla,2021,6,6,6,0,100.0
Melilla,2022,6,6,6,0,100.0
Melilla,2023,6,6,6,0,100.0
Murcia,2015,6,6,6,0,100.0
Murcia,2016,6,6,6,0,100.0
Murcia,2017,6,6,6,0,100.0
Murcia,2018,6,6,6,0,100.0
Murcia,2019,6,6,6,0,100.0
Murcia,2020,6,6,6,0,100.0
Murcia,2021,6,6,6,0,100.0
Murcia,2022,6,6,6,0,100.0
Murcia,2023,6,6,6,0,100.0
Málaga,2015,6,6,6,0,100.0
Málaga,2016,6,6,6,0,100.0
Málaga,2017,6,6,6,0,100.0
Málaga,2018,6,6,6,0,100.0
Málaga,2019,6,6,6,0,100.0
Málaga,2020,6,6,6,0,100.0
Málaga,2021,6,6,6,0,100.0
Málaga,2022,6,6,6,0,100.0
Málaga,2023,6,6,6,0,100.0
Navarra,2015,6,6,0,6,0.0
Navarra,2016,6,6,0,6,0.0
Navarra,2017,6,6,0,6,0.0
Navarra,2018,6,6,0,6,0.0
Navarra,2019,6,6,0,6,0.0
Navarra,2020,6,6,0,6,0.0
Navarra,2021,6,6,6,0,100.0
Navarra,2022,6,6,6,0,100.0
Navarra,2023,6,6,6,0,100.0
Ourense,2015,6,6,6,0,100.0
Ourense,2016,6,6,6,0,100.0
Ourense,2017,6,6,6,0,100.0
Ourense,2018,6,6,6,0,100.0
Ourense,2019,6,6,6,0,100.0
Ourense,2020,6,6,6,0,100.0
Ourense,2021,6,6,6,0,100.0
Ourense,2022,6,6,6,0,100.0
Ourense,2023,6,6,6,0,100.0
Palencia,2015,6,6,6,0,100.0
Palencia,2016,6,6,6,0,100.0
Palencia,2017,6,6,6,0,100.0
Palencia,2018,6,6,6,0,100.0
Palencia,2019,6,6,6,0,100.0
Palencia,2020,6,6,6,0,100.0
Palencia,2021,6,6,6,0,100.0
Palencia,2022,6,6,6,0,100.0
Palencia,2023,6,6,6,0,100.0
"Palmas, Las",2015,6,6,6,0,100.0
"Palmas, Las",2016,6,6,6,0,100.0
"Palmas, Las",2017,6,6,6,0,100.0
"Palmas, Las",2018,6,6,6,0,100.0
"Palmas, Las",2019,6,6,6,0,100.0
"Palmas, Las",2020,6,6,6,0,100.0
"Palmas, Las",2021,6,6,6,0,100.0
"Palmas, Las",2022,6,6,6,0,100.0
"Palmas, Las",2023,6,6,6,0,100.0
Pontevedra,2015,6,6,6,0,100.0
Pontevedra,2016,6,6,6,0,100.0
Pontevedra,2017,6,6,6,0,100.0
Pontevedra,2018,6,6,6,0,100.0
Pontevedra,2019,6,6,6,0,100.0
Pontevedra,2020,6,6,6,0,100.0
Pontevedra,2021,6,6,6,0,100.0
Pontevedra,2022,6,6,6,0,100.0
Pontevedra,2023,6,6,6,0,100.0
"Rioja, La",2015,6,6,6,0,100.0
"Rioja, La",2016,6,6,6,0,100.0
"Rioja, La",2017,6,6,6,0,100.0
"Rioja, La",2018,6,6,6,0,100.0
"Rioja, La",2019,6,6,6,0,100.0
"Rioja, La",2020,6,6,6,0,100.0
"Rioja, La",2021,6,6,6,0,100.0
"Rioja, La",2022,6,6,6,0,100.0
"Rioja, La",2023,6,6,6,0,100.0
Salamanca,2015,6,6,6,0,100.0
Salamanca,2016,6,6,6,0,100.0
Salamanca,2017,6,6,6,0,100.0
Salamanca,2018,6,6,6,0,100.0
Salamanca,2019,6,6,6,0,100.0
Salamanca,2020,6,6,6,0,100.0
Salamanca,2021,6,6,6,0,100.0
Salamanca,2022,6,6,6,0,100.0
Salamanca,2023,6,6,6,0,100.0
Santa Cruz de Tenerife,2015,6,6,6,0,100.0
Santa Cruz de Tenerife,2016,6,6,6,0,100.0
Santa Cruz de Tenerife,2017,6,6,6,0,100.0
Santa Cruz de Tenerife,2018,6,6,6,0,100.0
Santa Cruz de Tenerife,2019,6,6,6,0,100.0
Santa Cruz de Tenerife,2020,6,6,6,0,100.0
Santa Cruz de Tenerife,2021,6,6,6,0,100.0
Santa Cruz de Tenerife,2022,6,6,6,0,100.0
Santa Cruz de Tenerife,2023,6,6,6,0,100.0
Segovia,2015,6,6,6,0,100.0
Segovia,2016,6,6,6,0,100.0
Segovia,2017,6,6,6,0,100.0
Segovia,2018,6,6,6,0,100.0
Segovia,2019,6,6,6,0,100.0
Segovia,2020,6,6,6,0,100.0
Segovia,2021,6,6,6,0,100.0
Segovia,2022,6,6,6,0,100.0
Segovia,2023,6,6,6,0,100.0
Sevilla,2015,6,6,6,0,100.0
Sevilla,2016,6,6,6,0,100.0
Sevilla,2017,6,6,6,0,100.0
Sevilla,2018,6,6,6,0,100.0
Sevilla,2019,6,6,6,0,100.0
Sevilla,2020,6,6,6,0,100.0
Sevilla,2021,6,6,6,0,100.0
Sevilla,2022,6,6,6,0,100.0
Sevilla,2023,6,6,6,0,100.0
Soria,2015,6,6,6,0,100.0
Soria,2016,6,6,6,0,100.0
Soria,2017,6,6,6,0,100.0
Soria,2018,6,6,6,0,100.0
Soria,2019,6,6,6,0,100.0
