provincia,anio,variable,valor
Asturias,2018,renta_mediana_por_unidad_consumo_eur,17150
Asturias,2018,renta_neta_media_por_hogar_eur,29637
Asturias,2018,renta_neta_media_por_persona_eur,12923
Asturias,2019,renta_bruta_media_por_hogar_eur,36726
Asturias,2019,renta_bruta_media_por_persona_eur,16057
Asturias,2019,renta_media_por_unidad_consumo_eur,19464
Asturias,2019,renta_mediana_por_unidad_consumo_eur,17850
Asturias,2019,renta_neta_media_por_hogar_eur,30798
Asturias,2019,renta_neta_media_por_persona_eur,13465
Asturias,2020,renta_bruta_media_por_hogar_eur,36583
Asturias,2020,renta_bruta_media_por_persona_eur,16115
Asturias,2020,renta_media_por_unidad_consumo_eur,19475
Asturias,2020,renta_mediana_por_unidad_consumo_eur,17850
Asturias,2020,renta_neta_media_por_hogar_eur,30658
Asturias,2020,renta_neta_media_por_persona_eur,13505
Asturias,2021,renta_bruta_media_por_hogar_eur,37978
Asturias,2021,renta_bruta_media_por_persona_eur,16882
Asturias,2021,renta_media_por_unidad_consumo_eur,20202
Asturias,2021,renta_mediana_por_unidad_consumo_eur,18550
Asturias,2021,renta_neta_media_por_hogar_eur,31623
Asturias,2021,renta_neta_media_por_persona_eur,14057
Asturias,2022,renta_bruta_media_por_hogar_eur,40199
Asturias,2022,renta_bruta_media_por_persona_eur,17948
Asturias,2022,renta_media_por_unidad_consumo_eur,21303
Asturias,2022,renta_mediana_por_unidad_consumo_eur,19250
Asturias,2022,renta_neta_media_por_hogar_eur,33242
Asturias,2022,renta_neta_media_por_persona_eur,14842
Asturias,2023,renta_bruta_media_por_hogar_eur,42776
Asturias,2023,renta_bruta_media_por_persona_eur,19146
Asturias,2023,renta_media_por_unidad_consumo_eur,22436
Asturias,2023,renta_mediana_por_unidad_consumo_eur,20650
Asturias,2023,renta_neta_media_por_hogar_eur,35265
Asturias,2023,renta_neta_media_por_persona_eur,15784
Badajoz,2015,renta_bruta_media_por_hogar_eur,25056
Badajoz,2015,renta_bruta_media_por_persona_eur,9699
Badajoz,2015,renta_media_por_unidad_consumo_eur,12725
Badajoz,2015,renta_mediana_por_unidad_consumo_eur,10850
