comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Andalucía,Almería,Porcentaje de población española,2021,78.1,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2021,727.74,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2021,2.6,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2022,40.5,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2022,15.7,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2022,28.8,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2022,19.6,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2022,78.2,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2022,741.568,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2022,2.6,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2023,40.8,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2023,16.1,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2023,28.9,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2023,19.4,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2023,78.0,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2023,748.573,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2023,2.6,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2015,43.0,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2015,19.5,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2015,30.6,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2015,17.5,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2015,92.1,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2015,322.033,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2015,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2016,43.2,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2016,19.8,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2016,30.8,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2016,17.7,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2016,91.8,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2016,323.815,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2016,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2017,43.4,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2017,20.2,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2017,30.9,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2017,17.8,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2017,91.4,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2017,326.127,poblacion,personas
