codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Hombres,2016,74 años,74,1208
02,Albacete,Hombres,2016,75 años,75,1809
02,Albacete,Hombres,2016,76 años,76,848
02,Albacete,Hombres,2016,77 años,77,1197
02,Albacete,Hombres,2016,78 años,78,1329
02,Albacete,Hombres,2016,79 años,79,1282
02,Albacete,Hombres,2016,8 años,8,2138
02,Albacete,Hombres,2016,80 años,80,1292
02,Albacete,Hombres,2016,81 años,81,1132
02,Albacete,Hombres,2016,82 años,82,1107
02,Albacete,Hombres,2016,83 años,83,1077
02,Albacete,Hombres,2016,84 años,84,989
02,Albacete,Hombres,2016,85 años,85,883
02,Albacete,Hombres,2016,85 y más años,85,4665
02,Albacete,Hombres,2016,86 años,86,788
02,Albacete,Hombres,2016,87 años,87,663
02,Albacete,Hombres,2016,88 años,88,578
02,Albacete,Hombres,2016,89 años,89,485
02,Albacete,Hombres,2016,9 años,9,2109
02,Albacete,Hombres,2016,90 años,90,335
02,Albacete,Hombres,2016,91 años,91,265
02,Albacete,Hombres,2016,92 años,92,216
02,Albacete,Hombres,2016,93 años,93,146
02,Albacete,Hombres,2016,94 años,94,102
02,Albacete,Hombres,2016,95 años,95,72
02,Albacete,Hombres,2016,96 años,96,48
02,Albacete,Hombres,2016,97 años,97,36
02,Albacete,Hombres,2016,98 años,98,28
02,Albacete,Hombres,2016,99 años,99,5
02,Albacete,Hombres,2016,Todas las edades,,195901
02,Albacete,Mujeres,2016,0 años,0,1639
02,Albacete,Mujeres,2016,1 año,1,1680
02,Albacete,Mujeres,2016,10 años,10,1869
02,Albacete,Mujeres,2016,100 y más años,100,63
02,Albacete,Mujeres,2016,11 años,11,1833
02,Albacete,Mujeres,2016,12 años,12,2007
02,Albacete,Mujeres,2016,13 años,13,1969
02,Albacete,Mujeres,2016,14 años,14,1949
02,Albacete,Mujeres,2016,15 años,15,2036
02,Albacete,Mujeres,2016,16 años,16,1975
02,Albacete,Mujeres,2016,17 años,17,1971
02,Albacete,Mujeres,2016,18 años,18,1988
02,Albacete,Mujeres,2016,19 años,19,1998
02,Albacete,Mujeres,2016,2 años,2,1672
02,Albacete,Mujeres,2016,20 años,20,1997
02,Albacete,Mujeres,2016,21 años,21,2076
02,Albacete,Mujeres,2016,22 años,22,2043
02,Albacete,Mujeres,2016,23 años,23,2249
02,Albacete,Mujeres,2016,24 años,24,2305
