codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
08,Castilla - La Mancha,16,Cuenca,2022,98835,97805,196640,49.738100081366966,101.05311589387046
08,Castilla - La Mancha,16,Cuenca,2023,99934,98502,198436,49.63917837489165,101.45377758827232
08,Castilla - La Mancha,16,Cuenca,2024,100365,98660,199025,49.57166185152619,101.72815730792621
08,Castilla - La Mancha,16,Cuenca,2025,100975,98884,199859,49.476881201246876,102.11459892399175
11,Extremadura,10,Cáceres,2021,193987,196557,390544,50.329028227293215,98.69249123663873
11,Extremadura,10,Cáceres,2022,193077,195880,388957,50.36032260635494,98.5690218501123
11,Extremadura,10,Cáceres,2023,192508,195749,388257,50.41737817991691,98.34430827232833
11,Extremadura,10,Cáceres,2024,192745,195907,388652,50.40679065076212,98.3859688525678
11,Extremadura,10,Cáceres,2025,192256,195934,388190,50.473737087508695,98.12283728194188
01,Andalucía,11,Cádiz,2021,616595,633278,1249873,50.66738780660115,97.36561194293817
01,Andalucía,11,Cádiz,2022,616647,633898,1250545,50.68973927367668,97.27858425172504
01,Andalucía,11,Cádiz,2023,618291,636575,1254866,50.728524001765926,97.12775399599418
01,Andalucía,11,Cádiz,2024,619543,639187,1258730,50.780310312775576,96.92672097523887
01,Andalucía,11,Cádiz,2025,620608,640812,1261420,50.800843493840276,96.84712520988995
01,Andalucía,14,Córdoba,2021,380859,396763,777622,51.02260481313543,95.99156171316378
01,Andalucía,14,Córdoba,2022,379567,395543,775110,51.03056340390396,95.96099539114584
01,Andalucía,14,Córdoba,2023,379239,395763,775002,51.0660617650019,95.82477391772349
01,Andalucía,14,Córdoba,2024,378655,395658,774313,51.09794101351779,95.70260174190841
01,Andalucía,14,Córdoba,2025,377929,395234,773163,51.11910425097942,95.62158113927445
16,País Vasco,20,Gipuzkoa,2021,354493,371015,725508,51.13865043528121,95.54681077584465
16,País Vasco,20,Gipuzkoa,2022,353333,369908,723241,51.14588359896632,95.51915611449333
16,País Vasco,20,Gipuzkoa,2023,354758,371954,726712,51.18313719878026,95.37684767471247
16,País Vasco,20,Gipuzkoa,2024,356298,373424,729722,51.17346057813798,95.41379236471143
16,País Vasco,20,Gipuzkoa,2025,358360,374789,733149,51.12044072896505,95.61646686535624
09,Cataluña,17,Girona,2021,393369,391572,784941,49.88553279800647,100.45891943244155
09,Cataluña,17,Girona,2022,396258,394174,790432,49.86817335330554,100.52870052311923
09,Cataluña,17,Girona,2023,404692,403980,808672,49.95597720707531,100.17624634882915
09,Cataluña,17,Girona,2024,411347,409761,821108,49.903423179411234,100.38705489297419
09,Cataluña,17,Girona,2025,416380,414049,830429,49.8596508551604,100.56297684573565
01,Andalucía,18,Granada,2021,456393,468653,925046,50.66266974831522,97.38399199407664
01,Andalucía,18,Granada,2022,456834,469185,926019,50.66688696452233,97.3675629016273
01,Andalucía,18,Granada,2023,460537,473535,934072,50.695770775700375,97.25511313841638
01,Andalucía,18,Granada,2024,462515,477226,939741,50.78271566314548,96.91739343623357
01,Andalucía,18,Granada,2025,464948,480849,945797,50.840613789216924,96.69314067409935
08,Castilla - La Mancha,19,Guadalajara,2021,134874,131095,265969,49.28957886069429,102.88264235859491
08,Castilla - La Mancha,19,Guadalajara,2022,136128,132284,268412,49.28393663472572,102.90586919052947
08,Castilla - La Mancha,19,Guadalajara,2023,139416,135666,275082,49.318385063362925,102.76414134713193
08,Castilla - La Mancha,19,Guadalajara,2024,142037,138188,280225,49.31323043982514,102.78533591918256
08,Castilla - La Mancha,19,Guadalajara,2025,145284,140555,285839,49.17278607887657,103.36451922734872
01,Andalucía,21,Huelva,2021,261186,266068,527254,50.462964719091744,98.16513071846295
01,Andalucía,21,Huelva,2022,263398,267696,531094,50.40463646736736,98.39444743290898
01,Andalucía,21,Huelva,2023,265017,269067,534084,50.37915384096883,98.49479869326227
01,Andalucía,21,Huelva,2024,265662,270072,535734,50.41158485367738,98.36710210610504
01,Andalucía,21,Huelva,2025,267376,271413,538789,50.374636453231226,98.51259888067263
02,Aragón,22,Huesca,2021,113456,110539,223995,49.34886939440612,102.63888763241933
02,Aragón,22,Huesca,2022,114288,110911,225199,49.2502186954649,103.0447836553633
02,Aragón,22,Huesca,2023,114938,111940,226878,49.33929248318479,102.6782204752546
02,Aragón,22,Huesca,2024,115992,112527,228519,49.24185735102989,103.07926097736544
02,Aragón,22,Huesca,2025,117167,112920,230087,49.07708823184274,103.76106978391782
01,Andalucía,23,Jaén,2021,310930,316638,627568,50.45477143512735,98.19731049337098
01,Andalucía,23,Jaén,2022,309349,314842,624191,50.4400095483594,98.25531536453205
01,Andalucía,23,Jaén,2023,307398,313239,620637,50.47056491959068,98.13528966699549
01,Andalucía,23,Jaén,2024,306472,312583,619055,50.493574884299456,98.04499924819967
01,Andalucía,23,Jaén,2025,305962,312181,618143,50.50303894082761,98.00788645048866
07,Castilla y León,24,León,2021,220034,232401,452435,51.366715660813156,94.6785943261862
07,Castilla y León,24,León,2022,218430,230840,449270,51.38112938767334,94.62398197885982
07,Castilla y León,24,León,2023,218038,230535,448573,51.39297282716525,94.57913115145206
07,Castilla y León,24,León,2024,217825,229977,447802,51.35684967909924,94.71599333846429
07,Castilla y León,24,León,2025,218106,229924,448030,51.318884896100705,94.86004070910388
09,Cataluña,25,Lleida,2021,224011,215247,439258,49.00240860724222,104.07160146250587
09,Cataluña,25,Lleida,2022,225105,215778,440883,48.94223637563707,104.32249812307093
09,Cataluña,25,Lleida,2023,228557,218786,447343,48.90788500099476,104.46600787984606
09,Cataluña,25,Lleida,2024,231053,220654,451707,48.848921978184976,104.71280828808905
09,Cataluña,25,Lleida,2025,235446,222780,458226,48.61793088999751,105.68542957177485
12,Galicia,27,Lugo,2021,158003,168065,326068,51.54292969564631,94.01303067265641
12,Galicia,27,Lugo,2022,157157,167083,324240,51.530656303972364,94.05924001843395
12,Galicia,27,Lugo,2023,157332,166935,324267,51.480724218005534,94.24746158684518
12,Galicia,27,Lugo,2024,157715,167333,325048,51.4794738007925,94.2521797852187
12,Galicia,27,Lugo,2025,158220,167802,326022,51.46953273092,94.28969857331856
13,"Madrid, Comunidad de",28,Madrid,2021,3221401,3505239,6726640,52.10980519248837,91.90246371217484
13,"Madrid, Comunidad de",28,Madrid,2022,3229127,3514127,6743254,52.11322308191268,91.88987762821321
13,"Madrid, Comunidad de",28,Madrid,2023,3288197,3583706,6871903,52.150124936280385,91.75409478344484
13,"Madrid, Comunidad de",28,Madrid,2024,3356163,3653105,7009268,52.118209775970904,91.87151751729009
13,"Madrid, Comunidad de",28,Madrid,2025,3407410,3706476,7113886,52.10198757753498,91.93125761504999
19,Melilla,52,Melilla,2021,43823,42627,86450,49.30827067669173,102.80573345532174
19,Melilla,52,Melilla,2022,42978,41954,84932,49.397164790656056,102.44076846069505
19,Melilla,52,Melilla,2023,43162,42331,85493,49.513995297860646,101.96310032836456
19,Melilla,52,Melilla,2024,43252,42733,85985,49.69820317497238,101.21451805396298
19,Melilla,52,Melilla,2025,43770,43297,87067,49.728370105780606,101.09245444257108
14,"Murcia, Región de",30,Murcia,2021,760831,757448,1518279,49.88859096384788,100.44663131990579
14,"Murcia, Región de",30,Murcia,2022,767117,762541,1529658,49.85042408172284,100.60009887992908
14,"Murcia, Región de",30,Murcia,2023,777819,773873,1551692,49.872848477661805,100.5099027876667
14,"Murcia, Región de",30,Murcia,2024,786038,782454,1568492,49.885750134524116,100.45804609600053
14,"Murcia, Región de",30,Murcia,2025,794905,792084,1586989,49.91112099705795,100.35614909529798
01,Andalucía,29,Málaga,2021,831211,865744,1696955,51.01749899083947,96.01117651407344
01,Andalucía,29,Málaga,2022,840038,875071,1715109,51.02130535143831,95.99655342252228
01,Andalucía,29,Málaga,2023,857246,895482,1752728,51.090756808814604,95.73012076177969
01,Andalucía,29,Málaga,2024,867140,907561,1774701,51.13881155191776,95.54619469104556
01,Andalucía,29,Málaga,2025,874712,916471,1791183,51.165682121815586,95.44350012166234
15,"Navarra, Comunidad Foral de",31,Navarra,2021,327940,334092,662032,50.46463010851439,98.15859104677753
15,"Navarra, Comunidad Foral de",31,Navarra,2022,329064,335450,664514,50.48050153947095,98.09628856759576
15,"Navarra, Comunidad Foral de",31,Navarra,2023,332575,339580,672155,50.521085166367875,97.93715766535132
15,"Navarra, Comunidad Foral de",31,Navarra,2024,335919,342414,678333,50.47874716400352,98.10317335155689
15,"Navarra, Comunidad Foral de",31,Navarra,2025,338835,345019,683854,50.45214329374399,98.20763494184378
12,Galicia,32,Ourense,2021,146630,158667,305297,51.97135903726535,92.41367139985
12,Galicia,32,Ourense,2022,146112,158111,304223,51.97207311741716,92.41102769573274
12,Galicia,32,Ourense,2023,146271,158292,304563,51.97348331872224,92.40580698961413
12,Galicia,32,Ourense,2024,146181,158286,304467,51.98790016652051,92.35245062734543
12,Galicia,32,Ourense,2025,146646,158632,305278,51.96312868926028,92.44414746078975
07,Castilla y León,34,Palencia,2021,78883,80263,159146,50.433564148643384,98.28065235538168
07,Castilla y León,34,Palencia,2022,78316,79677,157993,50.430715284854394,98.29185335793265
07,Castilla y León,34,Palencia,2023,78125,79662,157787,50.4870489964319,98.07059827772338
07,Castilla y León,34,Palencia,2024,78343,79720,158063,50.435585810721044,98.2727044656297
