anio,variable,grupo,unidad,frecuencia,agregacion_anual,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,cobertura_completa
2012,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2012-01-01,2012-12-01,12,True
2012,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2012-03-01,2012-12-01,4,True
2012,precio_vivienda_renta_hogar_anios,accesibilidad,Años,TRIMESTRAL,media,4,2012-03-01,2012-12-01,4,True
2012,prestamos_rpv_superior_80_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2012-03-01,2012-12-01,4,True
2012,relacion_prestamo_valor_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2012-03-01,2012-12-01,4,True
2012,tipo_interes_hipotecas_pct,accesibilidad,Porcentaje,MENSUAL,media,12,2012-01-01,2012-12-01,12,True
2012,visados_obra_nueva,oferta,Viviendas,MENSUAL,suma,12,2012-01-01,2012-12-01,12,True
2012,viviendas_iniciadas_libres,oferta,Viviendas,MENSUAL,suma,12,2012-01-01,2012-12-01,12,True
2012,viviendas_iniciadas_protegidas,oferta,Viviendas,MENSUAL,suma,12,2012-01-01,2012-12-01,12,True
2012,viviendas_iniciadas_total,oferta,Viviendas,MENSUAL,suma,12,2012-01-01,2012-12-01,12,True
2013,compraventas_totales,demanda_efectiva,Viviendas,MENSUAL,suma,12,2013-01-01,2013-12-01,12,True
2013,compraventas_vivienda_nueva,demanda_efectiva,Viviendas,MENSUAL,suma,12,2013-01-01,2013-12-01,12,True
2013,compraventas_vivienda_usada,demanda_efectiva,Viviendas,MENSUAL,suma,12,2013-01-01,2013-12-01,12,True
2013,credito_hipotecario_hogares_pct_pib,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,credito_hipotecario_hogares_tasa_interanual_pct,credito_financiacion,Porcentaje,MENSUAL,media,12,2013-01-01,2013-12-01,12,True
2013,creditos_dudosos_vivienda_pct,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,esfuerzo_teorico_anual_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,ipv_general,precios,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,ipv_vivienda_nueva,precios,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,ipv_vivienda_usada,precios,Porcentaje,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,numero_hogares_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,ocupados_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,plazo_medio_hipotecas_meses,accesibilidad,Meses,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,poblacion_25_mas_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
2013,precio_m2_fotocasa,precios,Euros por metro cuadrado,MENSUAL,media,12,2013-01-01,2013-12-01,12,True
2013,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2013-01-01,2013-12-01,12,True
2013,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2013-03-01,2013-12-01,4,True
