codigo_provincia,provincia,anio,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
07,"Balears, Illes",2023,750.4166666666666,70.94833333333334,65.995,63.89666666666667,95806.83333333333,36444.333333333336,204563.25
07,"Balears, Illes",2024,789.3333333333334,72.1375,67.4675,65.0125,100346.16666666667,39828.0,214379.08333333334
07,"Balears, Illes",2025,812.75,72.08583333333333,67.45166666666667,65.08916666666666,100389.25,41626.583333333336,214945.08333333334
08,Barcelona,2015,1044.0833333333333,69.60916666666667,64.5525,60.979166666666664,63459.083333333336,18560.833333333332,125651.5
08,Barcelona,2016,1100.9166666666667,73.495,67.88083333333334,63.94,64377.5,19066.833333333332,128062.25
08,Barcelona,2017,1121.8333333333333,74.31,68.3225,64.4575,65728.25,20403.666666666668,131131.83333333334
08,Barcelona,2018,1135.4166666666667,73.41250000000001,66.87416666666667,63.16833333333333,66825.41666666667,20565.833333333332,133943.5
08,Barcelona,2019,1183.0833333333333,74.64666666666666,68.19166666666666,64.28,68484.5,21789.916666666668,137712.08333333334
08,Barcelona,2020,561.1666666666666,28.7075,25.159166666666664,22.805833333333336,29363.0,7197.833333333333,59574.666666666664
08,Barcelona,2021,791.25,42.21333333333333,40.54,34.7575,44308.5,9766.916666666666,89996.33333333333
08,Barcelona,2022,1087.25,69.02583333333332,64.11916666666667,58.47,66544.08333333333,18225.5,135597.75
08,Barcelona,2023,1096.1666666666667,74.5225,68.77666666666667,63.740833333333335,68697.91666666667,20394.5,140029.75
08,Barcelona,2024,1119.6666666666667,75.135,68.57416666666667,63.91833333333333,70019.5,22051.333333333332,143233.83333333334
08,Barcelona,2025,1131.25,75.47083333333333,67.7025,63.39333333333334,70181.33333333333,23008.083333333332,145003.83333333334
09,Burgos,2015,197.66666666666666,39.17333333333333,45.26416666666666,35.714166666666664,4843.0,980.1666666666666,8848.083333333334
09,Burgos,2016,199.5,43.794999999999995,47.737500000000004,39.145833333333336,4825.166666666667,1007.1666666666666,8882.583333333334
09,Burgos,2017,197.33333333333334,46.95583333333334,51.086666666666666,41.487500000000004,4704.5,1011.0833333333334,8650.416666666666
09,Burgos,2018,205.08333333333334,45.2925,49.189166666666665,39.934999999999995,4805.333333333333,1037.1666666666667,8869.166666666666
09,Burgos,2019,200.83333333333334,47.01333333333333,50.20666666666667,41.27583333333333,4687.25,980.25,8680.75
09,Burgos,2020,114.66666666666667,23.716666666666665,20.6575,19.228333333333335,2823.75,518.5833333333334,5253.583333333333
09,Burgos,2021,138.66666666666666,37.330000000000005,36.030833333333334,31.008333333333336,3526.3333333333335,645.3333333333334,6604.75
09,Burgos,2022,179.5,46.7925,50.61333333333334,41.06916666666667,4626.916666666667,940.0833333333334,8657.583333333334
09,Burgos,2023,178.58333333333334,51.20583333333334,52.916666666666664,44.01416666666666,4654.416666666667,1011.8333333333334,8681.0
09,Burgos,2024,160.16666666666666,54.310833333333335,56.384166666666665,46.689166666666665,4478.0,1082.6666666666667,8407.166666666666
09,Burgos,2025,159.41666666666666,56.83166666666667,57.57916666666667,47.9125,4353.5,1107.1666666666667,8310.0
10,Cáceres,2015,243.08333333333334,32.6075,40.82,29.747500000000002,5255.0,1205.4166666666667,10073.5
10,Cáceres,2016,231.33333333333334,37.69583333333333,44.73,33.56333333333333,5141.083333333333,1233.75,9929.666666666666
10,Cáceres,2017,219.5,37.51916666666667,46.09166666666667,34.05916666666667,5029.083333333333,1268.75,9668.25
10,Cáceres,2018,205.58333333333334,38.92666666666667,49.68083333333333,35.5725,4863.75,1212.9166666666667,9374.583333333334
10,Cáceres,2019,199.91666666666666,40.11,49.175000000000004,35.9975,4793.333333333333,1213.75,9274.0
10,Cáceres,2020,145.08333333333334,22.9575,22.516666666666666,19.140833333333333,3279.3333333333335,710.3333333333334,6385.0
10,Cáceres,2021,172.5,32.015,33.395,27.294166666666666,4061.75,880.4166666666666,7912.583333333333
10,Cáceres,2022,188.58333333333334,41.68666666666667,47.0,36.469166666666666,4569.25,1178.6666666666667,8878.25
10,Cáceres,2023,195.0,42.24333333333333,47.46333333333333,37.255,4698.75,1228.8333333333333,9120.166666666666
10,Cáceres,2024,198.91666666666666,44.3025,49.16166666666667,38.5925,4715.916666666667,1262.5,9172.833333333334
10,Cáceres,2025,194.08333333333334,42.627500000000005,46.994166666666665,36.839166666666664,4579.583333333333,1247.75,8906.0
11,Cádiz,2015,397.1666666666667,52.125,53.399166666666666,45.76083333333333,17015.666666666668,4842.25,36831.916666666664
11,Cádiz,2016,406.4166666666667,55.125,55.63666666666666,48.17916666666667,17229.75,5218.75,37602.583333333336
11,Cádiz,2017,414.0,57.67416666666667,58.57083333333333,49.876666666666665,17419.666666666668,5473.416666666667,37941.083333333336
11,Cádiz,2018,429.3333333333333,57.2275,58.04416666666666,49.2175,18028.833333333332,5662.25,39193.416666666664
11,Cádiz,2019,437.0,58.104166666666664,58.895,49.607499999999995,18310.916666666668,5762.333333333333,39891.75
11,Cádiz,2020,289.75,32.26583333333333,32.375,26.800833333333333,10716.916666666666,2798.1666666666665,23059.583333333332
11,Cádiz,2021,350.75,45.56666666666666,45.19583333333333,38.376666666666665,13873.666666666666,4112.083333333333,30155.5
11,Cádiz,2022,412.5,56.4275,56.25333333333334,47.81916666666667,17809.25,5907.083333333333,39093.0
11,Cádiz,2023,410.8333333333333,59.14833333333333,58.05583333333333,49.98333333333333,18350.416666666668,6529.25,40283.75
11,Cádiz,2024,411.4166666666667,60.055,59.98083333333333,50.92916666666667,18841.583333333332,7031.416666666667,41364.083333333336
11,Cádiz,2025,414.9166666666667,62.1,61.92166666666666,52.98416666666666,18714.083333333332,7437.333333333333,41081.416666666664
12,Castellón/Castelló,2015,185.58333333333334,46.92916666666667,54.83583333333333,45.36333333333334,8758.083333333334,2004.5833333333333,18001.333333333332
12,Castellón/Castelló,2016,192.58333333333334,48.53666666666667,55.23083333333333,45.34833333333333,9187.75,2067.0833333333335,18985.666666666668
12,Castellón/Castelló,2017,176.0,51.965833333333336,59.909166666666664,48.675000000000004,8879.583333333334,2076.4166666666665,18497.666666666668
12,Castellón/Castelló,2018,173.58333333333334,51.784166666666664,59.58166666666667,48.5725,8805.583333333334,2060.25,18326.083333333332
12,Castellón/Castelló,2019,187.5,52.7875,58.50083333333333,48.25416666666666,8890.0,2303.9166666666665,18890.833333333332
12,Castellón/Castelló,2020,127.83333333333333,28.38083333333333,30.094166666666666,24.540000000000003,5045.666666666667,1121.5833333333333,10676.666666666666
12,Castellón/Castelló,2021,161.0,39.659166666666664,43.568333333333335,34.845,6764.25,1491.25,14227.833333333334
12,Castellón/Castelló,2022,175.66666666666666,50.465,52.01333333333334,43.31,8182.416666666667,1865.9166666666667,17813.916666666668
12,Castellón/Castelló,2023,176.75,52.7175,54.01583333333334,45.00416666666666,8142.666666666667,1877.0,17909.75
12,Castellón/Castelló,2024,177.33333333333334,53.346666666666664,54.895,46.92250000000001,8498.5,1993.0,18550.0
12,Castellón/Castelló,2025,185.08333333333334,56.129999999999995,58.03333333333333,48.45583333333334,8701.666666666666,1932.5833333333333,18975.083333333332
13,Ciudad Real,2015,181.5,28.087500000000002,30.81416666666667,23.034166666666668,3876.25,652.5833333333334,7427.166666666667
13,Ciudad Real,2016,188.16666666666666,29.239166666666666,32.410833333333336,24.194999999999997,3940.5,667.0833333333334,7526.583333333333
13,Ciudad Real,2017,182.58333333333334,30.63416666666667,35.58166666666667,25.528333333333336,3978.1666666666665,673.4166666666666,7619.333333333333
13,Ciudad Real,2018,180.41666666666666,31.9425,36.47416666666667,25.945833333333336,3979.1666666666665,682.9166666666666,7693.083333333333
13,Ciudad Real,2019,174.91666666666666,32.83833333333333,36.105,26.185833333333335,3872.1666666666665,671.75,7487.25
13,Ciudad Real,2020,115.41666666666667,19.301666666666666,16.028333333333332,14.6025,2492.1666666666665,369.5833333333333,4745.333333333333
13,Ciudad Real,2021,135.25,28.160833333333333,27.84583333333333,22.364166666666666,3026.6666666666665,463.0,5769.916666666667
13,Ciudad Real,2022,156.75,35.0875,37.60333333333333,28.412499999999998,3598.0,572.4166666666666,6865.083333333333
13,Ciudad Real,2023,152.25,36.185,37.5725,29.0275,3514.4166666666665,587.4166666666666,6755.833333333333
13,Ciudad Real,2024,143.08333333333334,37.895833333333336,39.67166666666667,29.69666666666667,3444.1666666666665,588.5833333333334,6719.666666666667
13,Ciudad Real,2025,141.75,40.3125,39.75,30.621666666666666,3465.5,649.5833333333334,6830.083333333333
14,Córdoba,2015,188.16666666666666,50.16,57.195,45.607499999999995,5574.0,1272.0,10886.083333333334
14,Córdoba,2016,195.66666666666666,51.876666666666665,57.58083333333334,46.98333333333333,5628.583333333333,1301.5,11047.666666666666
14,Córdoba,2017,203.25,52.844166666666666,59.34583333333333,48.00333333333333,5701.583333333333,1306.5833333333333,11223.833333333334
14,Córdoba,2018,198.16666666666666,53.36666666666667,58.36666666666667,47.845,5592.75,1283.0833333333333,11044.666666666666
14,Córdoba,2019,202.83333333333334,54.5525,60.35833333333333,48.8325,5745.5,1354.1666666666667,11313.416666666666
14,Córdoba,2020,127.83333333333333,28.885833333333334,27.944999999999997,23.4375,3350.8333333333335,664.0,6593.0
14,Córdoba,2021,148.16666666666666,37.14666666666667,38.25666666666667,30.852500000000003,4438.166666666667,828.25,8783.666666666666
14,Córdoba,2022,186.66666666666666,50.300000000000004,55.093333333333334,43.85333333333333,5546.083333333333,1218.6666666666667,10998.416666666666
14,Córdoba,2023,194.33333333333334,53.48416666666666,56.94416666666667,46.06666666666666,5699.333333333333,1296.5,11386.833333333334
14,Córdoba,2024,192.66666666666666,54.24166666666667,57.73666666666667,47.30583333333333,5691.416666666667,1348.0,11403.166666666666
14,Córdoba,2025,169.83333333333334,55.487500000000004,56.99583333333334,48.09166666666667,5567.25,1353.5,11213.25
