codigo_provincia,provincia,anio,residencia,variable,valor
05,Ávila,2023,residentes_extranjero,pernoctaciones,92110
05,Ávila,2023,residentes_extranjero,viajeros,52311
05,Ávila,2023,total,pernoctaciones,639095
05,Ávila,2023,total,viajeros,393808
05,Ávila,2024,residentes_espana,pernoctaciones,545781
05,Ávila,2024,residentes_espana,viajeros,341591
05,Ávila,2024,residentes_extranjero,pernoctaciones,105610
05,Ávila,2024,residentes_extranjero,viajeros,63438
05,Ávila,2024,total,pernoctaciones,651392
05,Ávila,2024,total,viajeros,405027
05,Ávila,2025,residentes_espana,pernoctaciones,526032
05,Ávila,2025,residentes_espana,viajeros,328855
05,Ávila,2025,residentes_extranjero,pernoctaciones,100742
05,Ávila,2025,residentes_extranjero,viajeros,64609
05,Ávila,2025,total,pernoctaciones,626773
05,Ávila,2025,total,viajeros,393465
06,Badajoz,2015,residentes_espana,pernoctaciones,882706
06,Badajoz,2015,residentes_espana,viajeros,513772
06,Badajoz,2015,residentes_extranjero,pernoctaciones,156885
06,Badajoz,2015,residentes_extranjero,viajeros,117114
06,Badajoz,2015,total,pernoctaciones,1039593
06,Badajoz,2015,total,viajeros,630886
06,Badajoz,2016,residentes_espana,pernoctaciones,910203
06,Badajoz,2016,residentes_espana,viajeros,536662
06,Badajoz,2016,residentes_extranjero,pernoctaciones,146972
06,Badajoz,2016,residentes_extranjero,viajeros,107396
06,Badajoz,2016,total,pernoctaciones,1057176
06,Badajoz,2016,total,viajeros,644056
06,Badajoz,2017,residentes_espana,pernoctaciones,968565
06,Badajoz,2017,residentes_espana,viajeros,554816
06,Badajoz,2017,residentes_extranjero,pernoctaciones,175276
06,Badajoz,2017,residentes_extranjero,viajeros,130904
06,Badajoz,2017,total,pernoctaciones,1143840
06,Badajoz,2017,total,viajeros,685721
06,Badajoz,2018,residentes_espana,pernoctaciones,1042590
06,Badajoz,2018,residentes_espana,viajeros,598420
06,Badajoz,2018,residentes_extranjero,pernoctaciones,204069
06,Badajoz,2018,residentes_extranjero,viajeros,145594
06,Badajoz,2018,total,pernoctaciones,1246659
06,Badajoz,2018,total,viajeros,744015
06,Badajoz,2019,residentes_espana,pernoctaciones,1050785
06,Badajoz,2019,residentes_espana,viajeros,596371
06,Badajoz,2019,residentes_extranjero,pernoctaciones,232380
06,Badajoz,2019,residentes_extranjero,viajeros,167641
06,Badajoz,2019,total,pernoctaciones,1283165
06,Badajoz,2019,total,viajeros,764012
06,Badajoz,2020,residentes_espana,pernoctaciones,469941
06,Badajoz,2020,residentes_espana,viajeros,279790
06,Badajoz,2020,residentes_extranjero,pernoctaciones,66967
06,Badajoz,2020,residentes_extranjero,viajeros,40909
06,Badajoz,2020,total,pernoctaciones,536910
06,Badajoz,2020,total,viajeros,320698
06,Badajoz,2021,residentes_espana,pernoctaciones,758009
06,Badajoz,2021,residentes_espana,viajeros,449527
06,Badajoz,2021,residentes_extranjero,pernoctaciones,87798
06,Badajoz,2021,residentes_extranjero,viajeros,56157
06,Badajoz,2021,total,pernoctaciones,845805
06,Badajoz,2021,total,viajeros,505687
06,Badajoz,2022,residentes_espana,pernoctaciones,1085667
06,Badajoz,2022,residentes_espana,viajeros,612486
06,Badajoz,2022,residentes_extranjero,pernoctaciones,164439
06,Badajoz,2022,residentes_extranjero,viajeros,108656
06,Badajoz,2022,total,pernoctaciones,1250108
06,Badajoz,2022,total,viajeros,721142
06,Badajoz,2023,residentes_espana,pernoctaciones,1093491
06,Badajoz,2023,residentes_espana,viajeros,588683
06,Badajoz,2023,residentes_extranjero,pernoctaciones,204024
06,Badajoz,2023,residentes_extranjero,viajeros,130433
06,Badajoz,2023,total,pernoctaciones,1297517
06,Badajoz,2023,total,viajeros,719114
06,Badajoz,2024,residentes_espana,pernoctaciones,1111188
06,Badajoz,2024,residentes_espana,viajeros,621601
06,Badajoz,2024,residentes_extranjero,pernoctaciones,233596
06,Badajoz,2024,residentes_extranjero,viajeros,157012
06,Badajoz,2024,total,pernoctaciones,1344784
06,Badajoz,2024,total,viajeros,778614
06,Badajoz,2025,residentes_espana,pernoctaciones,1044936
06,Badajoz,2025,residentes_espana,viajeros,588481
06,Badajoz,2025,residentes_extranjero,pernoctaciones,243435
06,Badajoz,2025,residentes_extranjero,viajeros,169622
06,Badajoz,2025,total,pernoctaciones,1288372
06,Badajoz,2025,total,viajeros,758102
07,"Balears, Illes",2015,residentes_espana,pernoctaciones,4772066
07,"Balears, Illes",2015,residentes_espana,viajeros,1183091
07,"Balears, Illes",2015,residentes_extranjero,pernoctaciones,49841165
07,"Balears, Illes",2015,residentes_extranjero,viajeros,7650393
07,"Balears, Illes",2015,total,pernoctaciones,54613230
07,"Balears, Illes",2015,total,viajeros,8833485
07,"Balears, Illes",2016,residentes_espana,pernoctaciones,4636400
07,"Balears, Illes",2016,residentes_espana,viajeros,1200657
07,"Balears, Illes",2016,residentes_extranjero,pernoctaciones,54075963
07,"Balears, Illes",2016,residentes_extranjero,viajeros,8678050
07,"Balears, Illes",2016,total,pernoctaciones,58712364
07,"Balears, Illes",2016,total,viajeros,9878710
07,"Balears, Illes",2017,residentes_espana,pernoctaciones,5165590
07,"Balears, Illes",2017,residentes_espana,viajeros,1344722
07,"Balears, Illes",2017,residentes_extranjero,pernoctaciones,54210352
07,"Balears, Illes",2017,residentes_extranjero,viajeros,8820337
07,"Balears, Illes",2017,total,pernoctaciones,59375939
07,"Balears, Illes",2017,total,viajeros,10165058
07,"Balears, Illes",2018,residentes_espana,pernoctaciones,4921626
07,"Balears, Illes",2018,residentes_espana,viajeros,1343598
07,"Balears, Illes",2018,residentes_extranjero,pernoctaciones,54252065
07,"Balears, Illes",2018,residentes_extranjero,viajeros,8979212
07,"Balears, Illes",2018,total,pernoctaciones,59173693
07,"Balears, Illes",2018,total,viajeros,10322811
07,"Balears, Illes",2019,residentes_espana,pernoctaciones,4737956
07,"Balears, Illes",2019,residentes_espana,viajeros,1396579
07,"Balears, Illes",2019,residentes_extranjero,pernoctaciones,53380981
07,"Balears, Illes",2019,residentes_extranjero,viajeros,9185485
07,"Balears, Illes",2019,total,pernoctaciones,58118938
07,"Balears, Illes",2019,total,viajeros,10582064
07,"Balears, Illes",2020,residentes_espana,pernoctaciones,1855953
07,"Balears, Illes",2020,residentes_espana,viajeros,616581
07,"Balears, Illes",2020,residentes_extranjero,pernoctaciones,4107717
07,"Balears, Illes",2020,residentes_extranjero,viajeros,806647
07,"Balears, Illes",2020,total,pernoctaciones,5963669
07,"Balears, Illes",2020,total,viajeros,1423226
07,"Balears, Illes",2021,residentes_espana,pernoctaciones,3938684
07,"Balears, Illes",2021,residentes_espana,viajeros,1175473
07,"Balears, Illes",2021,residentes_extranjero,pernoctaciones,21879613
07,"Balears, Illes",2021,residentes_extranjero,viajeros,3906904
07,"Balears, Illes",2021,total,pernoctaciones,25818297
07,"Balears, Illes",2021,total,viajeros,5082378
07,"Balears, Illes",2022,residentes_espana,pernoctaciones,5430689
07,"Balears, Illes",2022,residentes_espana,viajeros,1610612
07,"Balears, Illes",2022,residentes_extranjero,pernoctaciones,50068336
07,"Balears, Illes",2022,residentes_extranjero,viajeros,9217010
07,"Balears, Illes",2022,total,pernoctaciones,55499026
07,"Balears, Illes",2022,total,viajeros,10827618
07,"Balears, Illes",2023,residentes_espana,pernoctaciones,5498531
07,"Balears, Illes",2023,residentes_espana,viajeros,1577408
07,"Balears, Illes",2023,residentes_extranjero,pernoctaciones,53543844
07,"Balears, Illes",2023,residentes_extranjero,viajeros,9959819
07,"Balears, Illes",2023,total,pernoctaciones,59042373
07,"Balears, Illes",2023,total,viajeros,11537228
07,"Balears, Illes",2024,residentes_espana,pernoctaciones,5451109
07,"Balears, Illes",2024,residentes_espana,viajeros,1609420
07,"Balears, Illes",2024,residentes_extranjero,pernoctaciones,57589493
07,"Balears, Illes",2024,residentes_extranjero,viajeros,10794925
07,"Balears, Illes",2024,total,pernoctaciones,63040602
07,"Balears, Illes",2024,total,viajeros,12404346
