codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
17,Girona,2018,8,2018M08,827076,269553,1525980,333396,2353056,602949,3.9025788250747575,3.0683242256624856,4.577079509052298
17,Girona,2018,9,2018M09,414985,183844,1179337,292245,1594322,476089,3.3487898271121574,2.2572670307434564,4.035439442933155
17,Girona,2018,10,2018M10,242364,126091,770649,217264,1013013,343354,2.9503457073457713,1.922135600479019,3.5470625598350396
17,Girona,2018,11,2018M11,151810,80166,150935,59745,302745,139911,2.1638398696314085,1.8936955816680388,2.526320194158507
17,Girona,2018,12,2018M12,167038,89725,86842,44634,253879,134359,1.889557082145595,1.861666202284759,1.9456468163283596
17,Girona,2019,1,2019M01,114808,62597,85270,45945,200078,108542,1.843323321847764,1.8340815055034587,1.8559146805963653
17,Girona,2019,2,2019M02,144580,86862,137385,58785,281965,145647,1.9359478739692544,1.664479288987129,2.3370757846389387
17,Girona,2019,3,2019M03,252254,126219,234704,101640,486958,227860,2.1370929518125164,1.9985422163065782,2.3091696182605275
17,Girona,2019,4,2019M04,390824,149990,608879,196990,999704,346980,2.881157415412992,2.6056670444696315,3.090913244327123
17,Girona,2019,5,2019M05,296090,134497,819148,254088,1115238,388585,2.869997555232446,2.2014617426411,3.223875192846573
17,Girona,2019,6,2019M06,443722,205411,1187115,300355,1630836,505766,3.2244872134544433,2.1601666901967276,3.95237302525345
17,Girona,2019,7,2019M07,551457,211371,1577402,330070,2128859,541440,3.931846557328605,2.608952978412365,4.778992334959251
17,Girona,2019,8,2019M08,788605,263556,1644925,387191,2433530,650747,3.7395946504555533,2.9921724415304527,4.248355462807761
17,Girona,2019,9,2019M09,404156,170976,1137174,282928,1541330,453904,3.3957180372942295,2.363817143926633,4.019305264943731
17,Girona,2019,10,2019M10,199624,121294,781783,219936,981407,341230,2.8760865105647215,1.645786271373687,3.554593154372181
17,Girona,2019,11,2019M11,162293,88950,164130,76766,326422,165716,1.9697675541287505,1.8245418774592468,2.138055910168564
17,Girona,2019,12,2019M12,177365,95664,101258,51658,278623,147322,1.891251815750533,1.8540412276300384,1.960161059274459
17,Girona,2020,1,2020M01,130132,68163,79360,44112,209492,112274,1.86589949587616,1.909129586432522,1.799056945955749
17,Girona,2020,2,2020M02,172439,93527,131645,65473,304085,158999,1.9124963050082076,1.8437349642349268,2.0106761565836297
17,Girona,2020,3,2020M03,71518,38205,74382,29969,145900,68175,2.14008067473414,1.871953932731318,2.481964696853415
17,Girona,2020,4,2020M04,0,0,0,0,0,0,,,
17,Girona,2020,5,2020M05,1788,1002,923,300,2712,1301,2.0845503458877785,1.784431137724551,3.0766666666666667
17,Girona,2020,6,2020M06,78548,45154,29712,16623,108260,61777,1.7524321349369507,1.739557957213093,1.7874029958491247
17,Girona,2020,7,2020M07,424641,197564,349454,107813,774095,305377,2.534883111694725,2.1493845032495797,3.2412974316640852
17,Girona,2020,8,2020M08,836400,324492,333935,107544,1170335,432036,2.708883056041626,2.5775673976554123,3.1051011678940714
17,Girona,2020,9,2020M09,360339,178692,126219,55528,486557,234219,2.077359223632583,2.016536834329461,2.273069442443452
17,Girona,2020,10,2020M10,103386,59494,67945,35020,171331,94514,1.8127578983007808,1.7377550677379232,1.9401770416904627
17,Girona,2020,11,2020M11,26377,14092,11641,7159,38018,21251,1.788998164792245,1.871771217712177,1.6260650928900684
17,Girona,2020,12,2020M12,41608,25094,18962,12429,60570,37523,1.6142099512299124,1.6580855981509524,1.5256255531418457
17,Girona,2021,1,2021M01,31937,19655,16162,9536,48099,29191,1.647733890582714,1.6248791656067159,1.6948406040268456
17,Girona,2021,2,2021M02,32579,20307,14160,7823,46739,28130,1.6615357269818698,1.6043236322450387,1.8100472964335932
17,Girona,2021,3,2021M03,84848,54216,22220,13155,107068,67372,1.5892061984207089,1.5649992622104176,1.6890916001520335
17,Girona,2021,4,2021M04,91696,52793,26539,14445,118235,67238,1.7584550403045898,1.736896937093933,1.8372447213568708
17,Girona,2021,5,2021M05,193531,121192,95584,47911,289115,169103,1.7096976398999426,1.5968958347085616,1.9950324560121893
17,Girona,2021,6,2021M06,419158,214970,206330,79844,625488,294814,2.1216360145718998,1.9498441643019957,2.5841641200340666
17,Girona,2021,7,2021M07,668729,268879,601757,161972,1270486,430850,2.9487896019496342,2.4871001454185713,3.7151915145827674
