provincia,anio,renta_bruta_media_por_hogar_eur,renta_bruta_media_por_persona_eur,renta_media_por_unidad_consumo_eur,renta_mediana_por_unidad_consumo_eur,renta_neta_media_por_hogar_eur,renta_neta_media_por_persona_eur
Teruel,2019,35969,14767,18359,16450,30351,12461
Teruel,2020,36407,15022,18610,17150,30672,12656
Teruel,2021,37931,15737,19306,17850,31658,13134
Teruel,2022,39558,16521,20139,18550,32889,13736
Teruel,2023,41921,17593,21163,19250,34725,14573
Toledo,2015,27511,10239,13497,11550,23767,8845
Toledo,2016,28422,10538,13874,12250,24502,9085
Toledo,2017,29556,11079,14508,12250,25374,9512
Toledo,2018,30911,11617,15164,12950,26489,9955
Toledo,2019,32415,12183,15851,13650,27705,10413
Toledo,2020,32742,12358,15995,14350,27906,10533
Toledo,2021,34229,12986,16685,15050,28990,10998
Toledo,2022,36344,13783,17601,15750,30626,11614
Toledo,2023,38997,14810,18627,16450,32711,12422
Valencia/València,2015,31727,12352,15621,12950,26655,10377
Valencia/València,2016,32798,12725,16057,13650,27426,10641
Valencia/València,2017,33903,13240,16640,14350,28274,11041
Valencia/València,2018,35733,13993,17524,15050,29710,11634
Valencia/València,2019,37365,14631,18275,15750,31017,12145
Valencia/València,2020,37573,14848,18478,15750,31208,12333
Valencia/València,2021,39302,15595,19224,16450,32317,12823
Valencia/València,2022,41810,16563,20300,17850,34198,13548
Valencia/València,2023,44714,17668,21363,18550,36532,14435
Valladolid,2015,34319,13873,17331,15050,28899,11682
Valladolid,2016,35265,14291,17843,15750,29735,12050
Valladolid,2017,36018,14741,18338,16450,30288,12396
Valladolid,2018,37316,15387,19045,17150,31296,12905
Valladolid,2019,38768,16042,19760,17150,32247,13344
Valladolid,2020,38799,16156,19810,17150,32397,13490
Valladolid,2021,40233,16875,20498,17850,33348,13987
Valladolid,2022,42120,17789,21422,19250,34708,14658
Valladolid,2023,44890,19025,22612,19950,36785,15590
Zamora,2015,25961,11293,14215,12250,22664,9859
Zamora,2016,26485,11579,14532,12250,23106,10102
Zamora,2017,27117,11985,14991,12950,23602,10431
Zamora,2018,28245,12635,15729,13650,24524,10971
Zamora,2019,29476,13268,16435,14350,25593,11520
Zamora,2020,29907,13577,16727,15050,25855,11737
Zamora,2021,31268,14317,17484,15750,26846,12292
Zamora,2022,32737,15137,18327,16450,27928,12913
Zamora,2023,35207,16369,19504,17150,29891,13897
Zaragoza,2015,36134,14427,17870,15750,30105,12020
Zaragoza,2016,36790,14444,17885,15750,30586,12008
Zaragoza,2017,37791,15219,18713,16450,31268,12592
Zaragoza,2018,39195,15837,19389,17150,32328,13063
Zaragoza,2019,40657,16401,20032,17850,33505,13516
Zaragoza,2020,40836,16548,20147,17850,33654,13637
Zaragoza,2021,42146,17214,20804,18550,34492,14087
Zaragoza,2022,44417,18149,21740,19250,36098,14750
Zaragoza,2023,47179,19313,22913,20650,38230,15650
Ávila,2015,25821,11212,14098,12250,22442,9745
Ávila,2016,26347,11430,14384,12250,22877,9925
Ávila,2017,27181,11854,14908,12950,23596,10291
Ávila,2018,28410,12501,15630,13650,24593,10822
Ávila,2019,29536,13098,16313,14350,25530,11322
Ávila,2020,30276,13447,16654,14350,26065,11577
Ávila,2021,31617,14184,17407,15050,27023,12123
Ávila,2022,33209,14923,18220,15750,28227,12684
Ávila,2023,35556,16036,19267,17150,30159,13602
