codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,sexo,anio,poblacion
01,Andalucía,14,Córdoba,Hombres,2025,377929
01,Andalucía,14,Córdoba,Mujeres,2025,395234
01,Andalucía,14,Córdoba,Total,2025,773163
16,País Vasco,20,Gipuzkoa,Hombres,2021,354493
16,País Vasco,20,Gipuzkoa,Mujeres,2021,371015
16,País Vasco,20,Gipuzkoa,Total,2021,725508
16,País Vasco,20,Gipuzkoa,Hombres,2022,353333
16,País Vasco,20,Gipuzkoa,Mujeres,2022,369908
16,País Vasco,20,Gipuzkoa,Total,2022,723241
16,País Vasco,20,Gipuzkoa,Hombres,2023,354758
16,País Vasco,20,Gipuzkoa,Mujeres,2023,371954
16,País Vasco,20,Gipuzkoa,Total,2023,726712
16,País Vasco,20,Gipuzkoa,Hombres,2024,356298
16,País Vasco,20,Gipuzkoa,Mujeres,2024,373424
16,País Vasco,20,Gipuzkoa,Total,2024,729722
16,País Vasco,20,Gipuzkoa,Hombres,2025,358360
16,País Vasco,20,Gipuzkoa,Mujeres,2025,374789
16,País Vasco,20,Gipuzkoa,Total,2025,733149
09,Cataluña,17,Girona,Hombres,2021,393369
09,Cataluña,17,Girona,Mujeres,2021,391572
09,Cataluña,17,Girona,Total,2021,784941
09,Cataluña,17,Girona,Hombres,2022,396258
09,Cataluña,17,Girona,Mujeres,2022,394174
09,Cataluña,17,Girona,Total,2022,790432
09,Cataluña,17,Girona,Hombres,2023,404692
09,Cataluña,17,Girona,Mujeres,2023,403980
09,Cataluña,17,Girona,Total,2023,808672
09,Cataluña,17,Girona,Hombres,2024,411347
09,Cataluña,17,Girona,Mujeres,2024,409761
09,Cataluña,17,Girona,Total,2024,821108
09,Cataluña,17,Girona,Hombres,2025,416380
09,Cataluña,17,Girona,Mujeres,2025,414049
09,Cataluña,17,Girona,Total,2025,830429
01,Andalucía,18,Granada,Hombres,2021,456393
01,Andalucía,18,Granada,Mujeres,2021,468653
01,Andalucía,18,Granada,Total,2021,925046
01,Andalucía,18,Granada,Hombres,2022,456834
01,Andalucía,18,Granada,Mujeres,2022,469185
01,Andalucía,18,Granada,Total,2022,926019
01,Andalucía,18,Granada,Hombres,2023,460537
01,Andalucía,18,Granada,Mujeres,2023,473535
01,Andalucía,18,Granada,Total,2023,934072
01,Andalucía,18,Granada,Hombres,2024,462515
