comunidad_autonoma,provincia,anio,poblacion,edad_media,pct_menor_18,pct_65_mas,tamano_medio_hogar,pct_hogares_unipersonales,pct_poblacion_espanola
Aragón,Huesca,2016,217.583,44.7,16.4,22.1,2.5,30.9,89.7
Aragón,Huesca,2017,217.163,44.8,16.4,22.3,2.5,31.1,89.4
Aragón,Huesca,2018,217.413,44.9,16.4,22.3,2.5,31.4,88.6
Aragón,Huesca,2019,219.118,44.9,16.3,22.3,2.5,31.4,87.5
Aragón,Huesca,2020,220.834,45.0,16.2,22.4,2.5,31.6,87.2
Aragón,Huesca,2021,221.903,45.2,16.1,22.6,2.4,32.1,86.8
Aragón,Huesca,2022,223.403,45.2,16.1,22.7,2.4,32.4,86.2
Aragón,Huesca,2023,224.824,45.3,15.9,22.9,2.4,32.7,85.6
Andalucía,Jaén,2015,645.844,41.8,18.0,18.4,2.6,26.7,97.5
Andalucía,Jaén,2016,640.927,42.1,17.8,18.5,2.6,27.0,97.6
Andalucía,Jaén,2017,635.619,42.5,17.5,18.8,2.6,26.9,97.6
Andalucía,Jaén,2018,629.72,42.8,17.3,19.1,2.5,27.2,97.6
Andalucía,Jaén,2019,626.797,43.1,17.1,19.3,2.5,27.5,97.4
Andalucía,Jaén,2020,623.762,43.4,16.9,19.5,2.5,27.9,97.3
Andalucía,Jaén,2021,620.509,43.7,16.6,19.9,2.5,28.2,97.2
Andalucía,Jaén,2022,617.084,44.0,16.4,20.3,2.5,28.8,96.9
Andalucía,Jaén,2023,615.583,44.3,16.2,20.9,2.4,29.2,96.5
Castilla y León,León,2015,470.99,47.5,13.1,25.9,2.3,33.3,96.0
Castilla y León,León,2016,465.335,47.8,13.1,26.2,2.3,33.7,96.1
Castilla y León,León,2017,460.903,48.1,13.1,26.5,2.3,34.1,96.0
Castilla y León,León,2018,455.995,48.4,13.0,26.8,2.3,34.6,95.9
Castilla y León,León,2019,452.797,48.7,12.9,27.2,2.3,35.1,95.5
Castilla y León,León,2020,448.48,48.8,12.8,27.4,2.2,35.5,95.5
Castilla y León,León,2021,444.669,49.1,12.7,28.0,2.2,36.1,95.4
Castilla y León,León,2022,444.621,49.3,12.5,28.3,2.2,36.7,94.9
Castilla y León,León,2023,443.775,49.5,12.4,28.8,2.2,37.1,94.5
Cataluña,Lleida,2015,430.398,42.3,18.1,18.8,2.6,29.5,83.1
Cataluña,Lleida,2016,428.436,42.5,18.2,19.0,2.5,29.9,83.5
Cataluña,Lleida,2017,428.626,42.6,18.2,19.2,2.5,29.7,83.2
Cataluña,Lleida,2018,428.366,42.8,18.0,19.4,2.6,28.9,82.6
Cataluña,Lleida,2019,431.152,43.0,17.9,19.5,2.6,28.9,81.8
Cataluña,Lleida,2020,432.574,43.1,17.8,19.6,2.6,29.1,81.5
Cataluña,Lleida,2021,433.795,43.3,17.7,19.8,2.5,29.3,81.1
Cataluña,Lleida,2022,440.028,43.3,17.6,19.8,2.5,29.5,80.8
Cataluña,Lleida,2023,444.65,43.5,17.3,20.0,2.5,29.7,80.3
Galicia,Lugo,2015,333.753,48.7,12.0,28.4,2.4,32.0,96.2
Galicia,Lugo,2016,330.888,48.9,12.1,28.5,2.4,32.3,96.2
Galicia,Lugo,2017,328.633,49.0,12.2,28.6,2.4,32.4,96.0
Galicia,Lugo,2018,326.289,49.2,12.2,28.8,2.4,33.0,95.6
Galicia,Lugo,2019,324.326,49.4,12.2,29.1,2.4,33.2,95.1
Galicia,Lugo,2020,322.597,49.6,12.2,29.3,2.3,33.6,94.9
Galicia,Lugo,2021,320.632,49.8,12.2,29.6,2.3,34.2,94.8
Galicia,Lugo,2022,320.843,49.8,12.2,29.7,2.3,34.8,94.1
Galicia,Lugo,2023,321.251,49.9,12.2,29.9,2.3,35.1,93.3
"Madrid, Comunidad de",Madrid,2015,,41.1,18.5,16.8,2.7,25.5,87.7
"Madrid, Comunidad de",Madrid,2016,,41.3,18.6,17.1,2.7,25.6,87.8
"Madrid, Comunidad de",Madrid,2017,,41.5,18.5,17.3,2.7,25.6,87.4
"Madrid, Comunidad de",Madrid,2018,,41.7,18.3,17.5,2.7,25.7,86.8
"Madrid, Comunidad de",Madrid,2019,,41.9,18.0,17.7,2.7,25.6,85.9
"Madrid, Comunidad de",Madrid,2020,,42.2,17.8,17.9,2.7,26.1,85.9
"Madrid, Comunidad de",Madrid,2021,,42.5,17.6,18.2,2.6,26.4,85.9
"Madrid, Comunidad de",Madrid,2022,,42.6,17.3,18.3,2.6,26.6,85.2
"Madrid, Comunidad de",Madrid,2023,,42.7,16.9,18.5,2.6,26.4,84.5
Melilla,Melilla,2015,82.079,34.8,26.9,9.9,3.2,18.6,84.5
Melilla,Melilla,2016,82.369,34.9,27.1,10.0,3.2,18.6,84.5
Melilla,Melilla,2017,82.829,35.0,27.2,10.2,3.2,19.0,84.4
Melilla,Melilla,2018,82.895,35.3,26.9,10.5,3.2,19.2,84.7
Melilla,Melilla,2019,83.5,35.6,26.6,10.8,3.2,19.2,84.7
Melilla,Melilla,2020,83.025,35.9,26.2,11.1,3.3,19.5,85.4
Melilla,Melilla,2021,82.079,36.2,25.5,11.4,3.3,20.3,86.3
Melilla,Melilla,2022,82.878,36.5,25.1,11.9,3.2,20.3,86.7
Melilla,Melilla,2023,83.36,36.9,24.5,12.4,3.2,20.7,87.2
"Murcia, Región de",Murcia,2015,,39.2,21.0,15.1,2.9,23.3,86.3
"Murcia, Región de",Murcia,2016,,39.5,21.0,15.2,2.9,23.4,86.5
"Murcia, Región de",Murcia,2017,,39.7,20.9,15.4,2.9,23.5,86.3
"Murcia, Región de",Murcia,2018,,40.0,20.6,15.6,2.8,23.7,85.9
"Murcia, Región de",Murcia,2019,,40.2,20.4,15.8,2.8,23.8,85.3
"Murcia, Región de",Murcia,2020,,40.5,20.1,16.0,2.8,24.0,85.4
"Murcia, Región de",Murcia,2021,,40.7,19.9,16.1,2.8,24.3,85.2
"Murcia, Región de",Murcia,2022,,40.9,19.7,16.3,2.8,24.5,85.1
"Murcia, Región de",Murcia,2023,,41.1,19.4,16.6,2.8,24.8,84.9
Andalucía,Málaga,2015,,40.6,19.2,16.5,2.6,28.3,85.3
Andalucía,Málaga,2016,,40.9,19.2,16.7,2.6,28.4,85.7
Andalucía,Málaga,2017,,41.1,19.2,16.9,2.6,28.2,85.5
Andalucía,Málaga,2018,,41.4,18.9,17.2,2.6,28.4,84.8
Andalucía,Málaga,2019,,41.7,18.6,17.5,2.6,28.3,84.0
Andalucía,Málaga,2020,,42.1,18.3,17.8,2.6,28.4,83.9
Andalucía,Málaga,2021,,42.4,18.1,18.1,2.5,28.8,83.3
Andalucía,Málaga,2022,,42.6,17.8,18.4,2.5,28.9,82.4
Andalucía,Málaga,2023,,42.8,17.4,18.7,2.5,29.1,81.9
"Navarra, Comunidad Foral de",Navarra,2015,634.91,42.1,18.8,18.8,2.6,27.7,91.4
"Navarra, Comunidad Foral de",Navarra,2016,637.392,42.3,18.8,19.1,2.6,27.8,91.5
"Navarra, Comunidad Foral de",Navarra,2017,642.202,42.4,18.8,19.2,2.6,27.8,90.9
"Navarra, Comunidad Foral de",Navarra,2018,644.725,42.6,18.7,19.4,2.6,27.9,90.2
"Navarra, Comunidad Foral de",Navarra,2019,651.06,42.7,18.6,19.5,2.6,28.0,89.3
"Navarra, Comunidad Foral de",Navarra,2020,653.417,42.9,18.4,19.7,2.6,28.2,89.2
"Navarra, Comunidad Foral de",Navarra,2021,656.116,43.1,18.2,20.0,2.6,28.6,88.9
"Navarra, Comunidad Foral de",Navarra,2022,664.091,43.2,18.0,20.2,2.6,28.7,88.2
"Navarra, Comunidad Foral de",Navarra,2023,669.875,43.5,17.7,20.5,2.6,28.9,87.6
Galicia,Ourense,2015,311.552,49.2,11.9,30.1,2.3,33.8,95.9
Galicia,Ourense,2016,308.308,49.4,12.0,30.3,2.3,34.1,95.9
Galicia,Ourense,2017,305.774,49.6,12.0,30.6,2.3,34.3,95.7
Galicia,Ourense,2018,303.295,49.8,12.0,30.7,2.3,34.9,95.4
