codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,poblacion_0_17,poblacion_18_34,poblacion_35_64,poblacion_65_mas,suma_poblacion_edades,edad_media_aprox,pct_0_17,pct_18_34,pct_35_64,pct_65_mas,indice_envejecimiento,tasa_dependencia,pct_mujeres,razon_masculinidad,diferencia_total_edades
03,Alicante/Alacant,2023,966477,988791,1955268,332509.0,350159.0,867669.0,458392.0,2008729,44.89474687725422,17.00580176221367,17.908491316791356,44.37596278361841,23.443947325890875,137.85852413017392,64.94357167021944,50.57061231503814,97.7433047024093,-53461
04,Almería,2015,351880,342171,694051,142337.0,157614.0,296013.0,110194.0,706158,39.49052903174643,20.508147095818607,22.70928217090675,42.650035804285274,15.876931234160025,77.41767776474143,55.669305398488184,49.30055572285034,102.83747015381198,-12107
04,Almería,2016,355550,344505,700055,143208.0,154522.0,302435.0,112487.0,712652,39.74175333823521,20.4566784038397,22.072837134225168,43.20160558813236,16.068308918584968,78.54798614602537,55.95603087380213,49.21113341094628,103.20604925908187,-12597
04,Almería,2017,358283,346588,704871,143931.0,151308.0,307389.0,115529.0,718157,40.04071950840833,20.419481011419112,21.466055491004738,43.60925616176577,16.390091236552504,80.26693346117237,56.5645731277946,49.17041557958832,103.3743234041571,-13286
04,Almería,2018,359689,347630,707319,144158.0,148738.0,310358.0,117840.0,721094,40.27932419351707,20.38090310029845,21.028418577756288,43.87808047005665,16.660092546644442,81.74364239237504,57.06823845121718,49.147555770451525,103.46891810258033,-13775
04,Almería,2019,363885,350238,714123,144643.0,149257.0,314269.0,120038.0,728207,40.46953819449689,20.25463400562648,20.90074118884282,44.007684950631756,16.809149124170485,82.98915260330607,57.10165125580873,49.04449233535399,103.89649324173847,-14084
04,Almería,2020,369224,354779,724003,145467.0,150390.0,319416.0,123401.0,738674,40.71427449727484,20.092043817497995,20.772013375635183,44.118049234602616,17.04426639116136,84.83092385214516,57.229579869137474,49.00242126068538,104.07154876697888,-14671
04,Almería,2021,372823,357607,730430,145457.0,150172.0,323530.0,126323.0,745482,40.9936229177901,19.91388634092247,20.559396519858165,44.293087633311885,17.294333474802514,86.84559698055095,57.373623079488794,48.958421751570995,104.25495026663349,-15052
04,Almería,2022,378325,361216,739541,146078.0,151864.0,327654.0,129267.0,754863,41.18467457008755,19.75252217253675,20.534899349731795,44.30504867208174,17.479355438035213,88.49176467366749,57.42120212379932,48.84326900063688,104.73650115166548,-15322
04,Almería,2023,385696,367668,753364,147593.0,154891.0,333462.0,132862.0,768808,41.30946608255898,19.591193632825565,20.559915260086758,44.263065397337805,17.635830753792323,90.01917435108712,57.428745190466735,48.80350003451187,104.90333670594123,-15444
