codigo_provincia,provincia,anio,trimestre,periodo,sexo,variable,valor
01,Araba/Álava,2021,2,2021T2,total,tasa_paro_pct,10.92
01,Araba/Álava,2021,3,2021T3,hombres,tasa_actividad_pct,62.71
01,Araba/Álava,2021,3,2021T3,hombres,tasa_empleo_pct,54.79
01,Araba/Álava,2021,3,2021T3,hombres,tasa_paro_pct,12.62
01,Araba/Álava,2021,3,2021T3,mujeres,tasa_actividad_pct,54.4
01,Araba/Álava,2021,3,2021T3,mujeres,tasa_empleo_pct,47.89
01,Araba/Álava,2021,3,2021T3,mujeres,tasa_paro_pct,11.96
01,Araba/Álava,2021,3,2021T3,total,tasa_actividad_pct,58.45
01,Araba/Álava,2021,3,2021T3,total,tasa_empleo_pct,51.26
01,Araba/Álava,2021,3,2021T3,total,tasa_paro_pct,12.3
01,Araba/Álava,2021,4,2021T4,hombres,tasa_actividad_pct,63.29
01,Araba/Álava,2021,4,2021T4,hombres,tasa_empleo_pct,56.65
01,Araba/Álava,2021,4,2021T4,hombres,tasa_paro_pct,10.5
01,Araba/Álava,2021,4,2021T4,mujeres,tasa_actividad_pct,54.73
01,Araba/Álava,2021,4,2021T4,mujeres,tasa_empleo_pct,50.15
01,Araba/Álava,2021,4,2021T4,mujeres,tasa_paro_pct,8.37
01,Araba/Álava,2021,4,2021T4,total,tasa_actividad_pct,58.91
01,Araba/Álava,2021,4,2021T4,total,tasa_empleo_pct,53.32
01,Araba/Álava,2021,4,2021T4,total,tasa_paro_pct,9.48
01,Araba/Álava,2022,1,2022T1,hombres,tasa_actividad_pct,60.08
01,Araba/Álava,2022,1,2022T1,hombres,tasa_empleo_pct,53.21
01,Araba/Álava,2022,1,2022T1,hombres,tasa_paro_pct,11.43
01,Araba/Álava,2022,1,2022T1,mujeres,tasa_actividad_pct,52.84
01,Araba/Álava,2022,1,2022T1,mujeres,tasa_empleo_pct,48.15
01,Araba/Álava,2022,1,2022T1,mujeres,tasa_paro_pct,8.88
01,Araba/Álava,2022,1,2022T1,total,tasa_actividad_pct,56.38
01,Araba/Álava,2022,1,2022T1,total,tasa_empleo_pct,50.63
01,Araba/Álava,2022,1,2022T1,total,tasa_paro_pct,10.21
01,Araba/Álava,2022,2,2022T2,hombres,tasa_actividad_pct,61.07
01,Araba/Álava,2022,2,2022T2,hombres,tasa_empleo_pct,55.99
01,Araba/Álava,2022,2,2022T2,hombres,tasa_paro_pct,8.31
01,Araba/Álava,2022,2,2022T2,mujeres,tasa_actividad_pct,52.89
01,Araba/Álava,2022,2,2022T2,mujeres,tasa_empleo_pct,46.99
01,Araba/Álava,2022,2,2022T2,mujeres,tasa_paro_pct,11.16
01,Araba/Álava,2022,2,2022T2,total,tasa_actividad_pct,56.88
01,Araba/Álava,2022,2,2022T2,total,tasa_empleo_pct,51.39
01,Araba/Álava,2022,2,2022T2,total,tasa_paro_pct,9.67
01,Araba/Álava,2022,3,2022T3,hombres,tasa_actividad_pct,64.07
01,Araba/Álava,2022,3,2022T3,hombres,tasa_empleo_pct,57.44
01,Araba/Álava,2022,3,2022T3,hombres,tasa_paro_pct,10.34
01,Araba/Álava,2022,3,2022T3,mujeres,tasa_actividad_pct,52.29
01,Araba/Álava,2022,3,2022T3,mujeres,tasa_empleo_pct,48.39
01,Araba/Álava,2022,3,2022T3,mujeres,tasa_paro_pct,7.46
01,Araba/Álava,2022,3,2022T3,total,tasa_actividad_pct,58.02
01,Araba/Álava,2022,3,2022T3,total,tasa_empleo_pct,52.79
01,Araba/Álava,2022,3,2022T3,total,tasa_paro_pct,9.01
01,Araba/Álava,2022,4,2022T4,hombres,tasa_actividad_pct,64.26
01,Araba/Álava,2022,4,2022T4,hombres,tasa_empleo_pct,58.95
01,Araba/Álava,2022,4,2022T4,hombres,tasa_paro_pct,8.27
01,Araba/Álava,2022,4,2022T4,mujeres,tasa_actividad_pct,53.16
01,Araba/Álava,2022,4,2022T4,mujeres,tasa_empleo_pct,49.22
01,Araba/Álava,2022,4,2022T4,mujeres,tasa_paro_pct,7.41
01,Araba/Álava,2022,4,2022T4,total,tasa_actividad_pct,58.57
01,Araba/Álava,2022,4,2022T4,total,tasa_empleo_pct,53.96
01,Araba/Álava,2022,4,2022T4,total,tasa_paro_pct,7.87
01,Araba/Álava,2023,1,2023T1,hombres,tasa_actividad_pct,64.41
01,Araba/Álava,2023,1,2023T1,hombres,tasa_empleo_pct,60.89
01,Araba/Álava,2023,1,2023T1,hombres,tasa_paro_pct,5.46
01,Araba/Álava,2023,1,2023T1,mujeres,tasa_actividad_pct,53.12
01,Araba/Álava,2023,1,2023T1,mujeres,tasa_empleo_pct,48.84
01,Araba/Álava,2023,1,2023T1,mujeres,tasa_paro_pct,8.05
01,Araba/Álava,2023,1,2023T1,total,tasa_actividad_pct,58.6
01,Araba/Álava,2023,1,2023T1,total,tasa_empleo_pct,54.7
01,Araba/Álava,2023,1,2023T1,total,tasa_paro_pct,6.67
01,Araba/Álava,2023,2,2023T2,hombres,tasa_actividad_pct,66.01
01,Araba/Álava,2023,2,2023T2,hombres,tasa_empleo_pct,61.71
01,Araba/Álava,2023,2,2023T2,hombres,tasa_paro_pct,6.52
01,Araba/Álava,2023,2,2023T2,mujeres,tasa_actividad_pct,50.8
01,Araba/Álava,2023,2,2023T2,mujeres,tasa_empleo_pct,46.74
01,Araba/Álava,2023,2,2023T2,mujeres,tasa_paro_pct,8.0
01,Araba/Álava,2023,2,2023T2,total,tasa_actividad_pct,58.18
01,Araba/Álava,2023,2,2023T2,total,tasa_empleo_pct,54.0
01,Araba/Álava,2023,2,2023T2,total,tasa_paro_pct,7.18
01,Araba/Álava,2023,3,2023T3,hombres,tasa_actividad_pct,66.45
01,Araba/Álava,2023,3,2023T3,hombres,tasa_empleo_pct,60.87
01,Araba/Álava,2023,3,2023T3,hombres,tasa_paro_pct,8.39
01,Araba/Álava,2023,3,2023T3,mujeres,tasa_actividad_pct,49.67
01,Araba/Álava,2023,3,2023T3,mujeres,tasa_empleo_pct,44.02
01,Araba/Álava,2023,3,2023T3,mujeres,tasa_paro_pct,11.37
01,Araba/Álava,2023,3,2023T3,total,tasa_actividad_pct,57.86
01,Araba/Álava,2023,3,2023T3,total,tasa_empleo_pct,52.25
01,Araba/Álava,2023,3,2023T3,total,tasa_paro_pct,9.7
01,Araba/Álava,2023,4,2023T4,hombres,tasa_actividad_pct,65.61
01,Araba/Álava,2023,4,2023T4,hombres,tasa_empleo_pct,61.86
01,Araba/Álava,2023,4,2023T4,hombres,tasa_paro_pct,5.72
01,Araba/Álava,2023,4,2023T4,mujeres,tasa_actividad_pct,47.74
01,Araba/Álava,2023,4,2023T4,mujeres,tasa_empleo_pct,45.51
01,Araba/Álava,2023,4,2023T4,mujeres,tasa_paro_pct,4.65
01,Araba/Álava,2023,4,2023T4,total,tasa_actividad_pct,56.43
01,Araba/Álava,2023,4,2023T4,total,tasa_empleo_pct,53.47
01,Araba/Álava,2023,4,2023T4,total,tasa_paro_pct,5.26
01,Araba/Álava,2024,1,2024T1,hombres,tasa_actividad_pct,65.75
01,Araba/Álava,2024,1,2024T1,hombres,tasa_empleo_pct,59.45
01,Araba/Álava,2024,1,2024T1,hombres,tasa_paro_pct,9.59
01,Araba/Álava,2024,1,2024T1,mujeres,tasa_actividad_pct,48.99
01,Araba/Álava,2024,1,2024T1,mujeres,tasa_empleo_pct,45.18
01,Araba/Álava,2024,1,2024T1,mujeres,tasa_paro_pct,7.79
01,Araba/Álava,2024,1,2024T1,total,tasa_actividad_pct,57.13
01,Araba/Álava,2024,1,2024T1,total,tasa_empleo_pct,52.1
01,Araba/Álava,2024,1,2024T1,total,tasa_paro_pct,8.8
01,Araba/Álava,2024,2,2024T2,hombres,tasa_actividad_pct,64.12
01,Araba/Álava,2024,2,2024T2,hombres,tasa_empleo_pct,58.14
01,Araba/Álava,2024,2,2024T2,hombres,tasa_paro_pct,9.34
01,Araba/Álava,2024,2,2024T2,mujeres,tasa_actividad_pct,50.15
01,Araba/Álava,2024,2,2024T2,mujeres,tasa_empleo_pct,46.65
01,Araba/Álava,2024,2,2024T2,mujeres,tasa_paro_pct,6.99
01,Araba/Álava,2024,2,2024T2,total,tasa_actividad_pct,56.96
01,Araba/Álava,2024,2,2024T2,total,tasa_empleo_pct,52.25
01,Araba/Álava,2024,2,2024T2,total,tasa_paro_pct,8.28
01,Araba/Álava,2024,3,2024T3,hombres,tasa_actividad_pct,65.51
01,Araba/Álava,2024,3,2024T3,hombres,tasa_empleo_pct,57.91
01,Araba/Álava,2024,3,2024T3,hombres,tasa_paro_pct,11.59
01,Araba/Álava,2024,3,2024T3,mujeres,tasa_actividad_pct,47.41
01,Araba/Álava,2024,3,2024T3,mujeres,tasa_empleo_pct,44.33
01,Araba/Álava,2024,3,2024T3,mujeres,tasa_paro_pct,6.49
01,Araba/Álava,2024,3,2024T3,total,tasa_actividad_pct,56.28
01,Araba/Álava,2024,3,2024T3,total,tasa_empleo_pct,50.99
01,Araba/Álava,2024,3,2024T3,total,tasa_paro_pct,9.4
01,Araba/Álava,2024,4,2024T4,hombres,tasa_actividad_pct,63.48
01,Araba/Álava,2024,4,2024T4,hombres,tasa_empleo_pct,59.71
01,Araba/Álava,2024,4,2024T4,hombres,tasa_paro_pct,5.94
01,Araba/Álava,2024,4,2024T4,mujeres,tasa_actividad_pct,48.91
01,Araba/Álava,2024,4,2024T4,mujeres,tasa_empleo_pct,43.97
01,Araba/Álava,2024,4,2024T4,mujeres,tasa_paro_pct,10.1
01,Araba/Álava,2024,4,2024T4,total,tasa_actividad_pct,56.04
01,Araba/Álava,2024,4,2024T4,total,tasa_empleo_pct,51.68
01,Araba/Álava,2024,4,2024T4,total,tasa_paro_pct,7.79
01,Araba/Álava,2025,1,2025T1,hombres,tasa_actividad_pct,60.82
