codigo_provincia,provincia,anio,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,alquiler_mensual_eur_m2_p25_vivienda_colectiva,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,alquiler_mensual_eur_m2_p75_vivienda_colectiva,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,alquiler_mensual_total_eur_mediana_vivienda_colectiva,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,alquiler_mensual_total_eur_p25_vivienda_colectiva,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,alquiler_mensual_total_eur_p75_vivienda_colectiva,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,observaciones_alquiler_vivienda_colectiva,observaciones_alquiler_vivienda_unifamiliar,superficie_m2_mediana_vivienda_colectiva,superficie_m2_mediana_vivienda_unifamiliar,superficie_m2_p25_vivienda_colectiva,superficie_m2_p25_vivienda_unifamiliar,superficie_m2_p75_vivienda_colectiva,superficie_m2_p75_vivienda_unifamiliar
24,León,2017,4.90196078431373,3.13392857142857,3.46153846153846,1.82444762280529,7.24550023375409,5.15257602339181,400.0,400.0,300.0,250.0,600.0,700.0,12910.0,1537.0,90.0,209.0,74.0,138.0,111.0,300.0
24,León,2018,5.04,3.28467153284672,3.57142857142857,1.92307692307692,7.46268656716418,5.41937952990585,400.0,400.0,300.0,250.0,620.0,700.0,13663.0,1614.0,90.0,208.0,74.0,140.0,111.0,294.5
25,Lleida,2015,4.76190476190476,3.10032187192724,3.28947368421053,1.93552191113816,6.95341517857143,4.67468777814864,397.187776777678,380.0,300.0,270.0,560.0,600.0,12291.0,1971.0,88.0,246.0,69.0,171.0,109.0,363.25
25,Lleida,2016,4.86269950986553,3.08476098369715,3.41745780590717,2.0,7.14285714285714,4.7350640113798,400.0,400.0,300.0,280.0,590.0,600.0,13271.0,2133.0,88.0,246.0,69.0,174.0,109.0,358.0
25,Lleida,2017,5.0,3.2258064516129,3.52941176470588,2.03488372093023,7.35294117647059,4.87804878048781,400.0,400.0,300.0,293.4,600.0,620.0,14543.0,2248.0,87.0,246.0,68.0,170.0,108.0,363.0
25,Lleida,2018,5.14705882352941,3.30275229357798,3.64583333333333,2.12804031354983,7.54385964912281,5.08474576271186,400.0,400.0,315.0,300.0,600.0,650.0,15634.0,2410.0,87.0,246.0,68.0,170.0,108.0,362.0
26,"Rioja, La",2015,5.12820512820513,3.5,3.75641025641026,1.94938440492476,7.93785310734463,5.73692375886525,420.0,400.0,300.0,250.0,695.891666666667,700.0,7496.0,382.0,89.0,236.0,75.0,161.5,106.0,326.0
26,"Rioja, La",2016,5.26315789473684,3.52941176470588,3.8961038961039,2.11529884032114,8.16326530612245,6.25,440.0,437.5,321.135833333333,256.507515432099,700.0,750.0,8308.0,439.0,89.0,236.0,75.0,163.75,105.0,321.25
26,"Rioja, La",2017,5.35714285714286,3.68589743589744,3.95101638995317,2.19738594738595,8.23944122266522,6.93134171907757,441.666666666667,450.0,330.0,270.0,700.0,800.0,9023.0,482.0,88.0,239.0,74.0,163.0,105.0,321.0
26,"Rioja, La",2018,5.49450549450549,3.68892973856209,4.06976744186047,2.29222250528369,8.51063829787234,6.62316176470588,450.0,450.0,340.0,290.833333333333,700.166666666667,800.0,9688.0,517.0,88.0,234.5,74.0,154.25,105.0,320.75
27,Lugo,2015,3.84,2.26244343891403,2.57575757575758,1.30475340687865,5.79710144927536,3.77792977656179,350.0,275.0,250.0,176.973140495868,540.0,447.432513497301,6221.0,733.0,101.0,198.0,80.0,138.0,121.0,296.0
27,Lugo,2016,3.94736842105263,2.4375,2.65486725663717,1.47515527950311,6.0,4.0,350.0,300.0,262.5,200.0,550.0,458.333333333333,6797.0,820.0,100.0,196.0,79.0,133.0,120.0,286.0
