provincia,anio,trimestre,periodo,valor_transacciones_miles_euros
Avila,2020,2,2020-T2,28.0
Avila,2020,3,2020-T3,684.77
Avila,2020,4,2020-T4,732.12
Avila,2021,1,2021-T1,844.29
Avila,2021,2,2021-T2,766.89
Avila,2021,3,2021-T3,915.33
Avila,2021,4,2021-T4,1874.14
Avila,2022,1,2022-T1,1374.77
Avila,2022,2,2022-T2,1019.23
Avila,2022,3,2022-T3,827.24
Avila,2022,4,2022-T4,1347.16
Avila,2023,1,2023-T1,670.98
Avila,2023,2,2023-T2,914.6
Avila,2023,3,2023-T3,1587.14
Avila,2023,4,2023-T4,1354.48
Avila,2024,1,2024-T1,878.75
Avila,2024,2,2024-T2,1103.08
Avila,2024,3,2024-T3,1893.86
Avila,2024,4,2024-T4,985.69
Avila,2025,1,2025-T1,17518.33
Avila,2025,2,2025-T2,3697.5
Avila,2025,3,2025-T3,5187.73
Avila,2025,4,2025-T4,3225.51
Avila,2026,1,2026-T1,3184.89
Badajoz,2004,1,2004-T1,26157.3
Badajoz,2004,2,2004-T2,21478.5
Badajoz,2004,3,2004-T3,23991.5
Badajoz,2004,4,2004-T4,38559.4
Badajoz,2005,1,2005-T1,40785.7
Badajoz,2005,2,2005-T2,53048.8
Badajoz,2005,3,2005-T3,22362.4
Badajoz,2005,4,2005-T4,23334.1
Badajoz,2006,1,2006-T1,18575.9
Badajoz,2006,2,2006-T2,41182.4
Badajoz,2006,3,2006-T3,11168.9
Badajoz,2006,4,2006-T4,35254.7
Badajoz,2007,1,2007-T1,38304.3
Badajoz,2007,2,2007-T2,14077.2
Badajoz,2007,3,2007-T3,21673.29173
Badajoz,2007,4,2007-T4,43448.4
Badajoz,2008,1,2008-T1,68605.9
Badajoz,2008,2,2008-T2,21275.3
Badajoz,2008,3,2008-T3,120042.78
Badajoz,2008,4,2008-T4,24999.94
Badajoz,2009,1,2009-T1,92584.0
Badajoz,2009,2,2009-T2,58340.77
Badajoz,2009,3,2009-T3,5464.76
