provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Palmas (Las),2004,323.43,4
Palmas (Las),2005,364.18,4
Palmas (Las),2006,403.18,4
Palmas (Las),2007,422.25,4
Palmas (Las),2008,428.44,4
Palmas (Las),2009,383.32,4
Palmas (Las),2010,268.51,4
Palmas (Las),2011,260.46,4
Palmas (Las),2012,264.18,4
Palmas (Las),2013,231.47,4
Palmas (Las),2014,185.74,4
Palmas (Las),2015,192.11,4
Palmas (Las),2016,181.9,4
Palmas (Las),2017,220.55,4
Palmas (Las),2018,218.9,4
Palmas (Las),2019,239.0,4
Palmas (Las),2020,226.17,4
Palmas (Las),2021,208.97,4
Palmas (Las),2022,251.66,4
Palmas (Las),2023,262.04,4
Palmas (Las),2024,259.84,4
Palmas (Las),2025,279.4,4
Palmas (Las),2026,327.3,1
Pontevedra,2004,280.9,4
Pontevedra,2005,336.7,4
Pontevedra,2006,318.37,4
Pontevedra,2007,304.96,4
Pontevedra,2008,274.78,4
Pontevedra,2009,273.33,4
Pontevedra,2010,225.32,4
Pontevedra,2011,166.64,4
Pontevedra,2012,117.2,4
Pontevedra,2013,117.38,4
Pontevedra,2014,108.42,4
Pontevedra,2015,115.1,4
Pontevedra,2016,88.88,4
Pontevedra,2017,99.69,4
Pontevedra,2018,117.39,4
Pontevedra,2019,115.3,4
Pontevedra,2020,117.62,4
Pontevedra,2021,90.86,4
Pontevedra,2022,126.55,4
Pontevedra,2023,175.38,4
Pontevedra,2024,145.02,4
Pontevedra,2025,150.16,4
Pontevedra,2026,163.72,1
Salamanca,2004,162.31,4
Salamanca,2005,145.12,4
Salamanca,2006,126.7,4
Salamanca,2007,141.29,4
Salamanca,2008,137.89,4
Salamanca,2009,131.86,4
Salamanca,2010,150.56,4
Salamanca,2011,117.62,4
Salamanca,2012,82.41,4
Salamanca,2013,74.34,4
Salamanca,2014,68.02,4
Salamanca,2015,63.74,4
Salamanca,2016,57.98,4
Salamanca,2017,60.22,4
Salamanca,2018,62.2,4
Salamanca,2019,73.35,4
Salamanca,2020,68.15,4
Salamanca,2021,65.22,4
Salamanca,2022,82.05,4
Salamanca,2023,78.78,4
Salamanca,2024,102.26,4
Salamanca,2025,67.37,4
Salamanca,2026,33.65,1
Santa Cruz de Tenerife,2004,202.64,4
Santa Cruz de Tenerife,2005,262.16,4
Santa Cruz de Tenerife,2006,296.64,4
Santa Cruz de Tenerife,2007,327.82,4
Santa Cruz de Tenerife,2008,371.65,4
Santa Cruz de Tenerife,2009,309.7,4
Santa Cruz de Tenerife,2010,241.05,4
Santa Cruz de Tenerife,2011,200.4,4
Santa Cruz de Tenerife,2012,170.63,4
Santa Cruz de Tenerife,2013,144.06,4
Santa Cruz de Tenerife,2014,159.55,4
Santa Cruz de Tenerife,2015,162.59,4
Santa Cruz de Tenerife,2016,155.39,4
Santa Cruz de Tenerife,2017,174.96,4
Santa Cruz de Tenerife,2018,175.48,4
Santa Cruz de Tenerife,2019,201.84,4
Santa Cruz de Tenerife,2020,179.28,4
Santa Cruz de Tenerife,2021,177.06,4
Santa Cruz de Tenerife,2022,207.65,4
Santa Cruz de Tenerife,2023,219.1,4
Santa Cruz de Tenerife,2024,211.95,4
Santa Cruz de Tenerife,2025,226.18,4
Santa Cruz de Tenerife,2026,234.69,1
Segovia,2004,70.17,4
Segovia,2005,73.33,4
Segovia,2006,87.39,4
Segovia,2007,97.22,4
Segovia,2008,104.75,4
Segovia,2009,89.97,4
Segovia,2010,102.96,4
Segovia,2011,86.22,4
Segovia,2012,67.45,4
Segovia,2013,55.84,4
Segovia,2014,68.23,4
Segovia,2015,64.94,4
Segovia,2016,62.32,4
Segovia,2017,69.94,4
Segovia,2018,69.39,4
Segovia,2019,77.28,4
Segovia,2020,68.13,4
Segovia,2021,68.04,4
Segovia,2022,76.33,4
Segovia,2023,76.07,4
Segovia,2024,94.13,4
Segovia,2025,88.82,4
Segovia,2026,71.36,1
Sevilla,2004,162.61,4
Sevilla,2005,181.52,4
Sevilla,2006,202.21,4
Sevilla,2007,238.12,4
Sevilla,2008,236.18,4
Sevilla,2009,219.52,4
Sevilla,2010,205.56,4
Sevilla,2011,189.22,4
Sevilla,2012,156.99,4
Sevilla,2013,150.5,4
Sevilla,2014,158.0,4
Sevilla,2015,130.69,4
Sevilla,2016,141.96,4
Sevilla,2017,149.04,4
