provincia,anio,trimestre,periodo,superficie_m2
Barcelona,2012,1,2012-T1,776.86
Barcelona,2012,2,2012-T2,811.59
Barcelona,2012,3,2012-T3,271.33
Barcelona,2012,4,2012-T4,277.53
Barcelona,2013,1,2013-T1,348.12
Barcelona,2013,2,2013-T2,350.11
Barcelona,2013,3,2013-T3,911.08
Barcelona,2013,4,2013-T4,735.38
Barcelona,2014,1,2014-T1,504.39
Barcelona,2014,2,2014-T2,326.08
Barcelona,2014,3,2014-T3,352.72
Barcelona,2014,4,2014-T4,1735.03
Barcelona,2015,1,2015-T1,393.92
Barcelona,2015,2,2015-T2,495.1
Barcelona,2015,3,2015-T3,558.94
Barcelona,2015,4,2015-T4,465.09
Barcelona,2016,1,2016-T1,452.63
Barcelona,2016,2,2016-T2,570.82
Barcelona,2016,3,2016-T3,498.94
Barcelona,2016,4,2016-T4,998.41
Barcelona,2017,1,2017-T1,784.74
Barcelona,2017,2,2017-T2,936.68
Barcelona,2017,3,2017-T3,525.23
Barcelona,2017,4,2017-T4,715.32
Barcelona,2018,1,2018-T1,752.12
Barcelona,2018,2,2018-T2,900.6
Barcelona,2018,3,2018-T3,625.09
Barcelona,2018,4,2018-T4,731.85
Barcelona,2019,1,2019-T1,425.77
Barcelona,2019,2,2019-T2,331.58
Barcelona,2019,3,2019-T3,627.13
Barcelona,2019,4,2019-T4,554.1
Barcelona,2020,1,2020-T1,300.71
Barcelona,2020,2,2020-T2,270.51
Barcelona,2020,3,2020-T3,494.65
Barcelona,2020,4,2020-T4,948.63
Barcelona,2021,1,2021-T1,1071.5
Barcelona,2021,2,2021-T2,964.94
Barcelona,2021,3,2021-T3,848.47
Barcelona,2021,4,2021-T4,1039.76
Barcelona,2022,1,2022-T1,875.93
Barcelona,2022,2,2022-T2,924.14
Barcelona,2022,3,2022-T3,470.94
Barcelona,2022,4,2022-T4,598.89
Barcelona,2023,1,2023-T1,532.83
Barcelona,2023,2,2023-T2,883.01
Barcelona,2023,3,2023-T3,455.58
Barcelona,2023,4,2023-T4,685.28
Barcelona,2024,1,2024-T1,452.07
Barcelona,2024,2,2024-T2,876.1
Barcelona,2024,3,2024-T3,685.39
Barcelona,2024,4,2024-T4,387.39
Barcelona,2025,1,2025-T1,914.01
Barcelona,2025,2,2025-T2,651.81
Barcelona,2025,3,2025-T3,616.72
Barcelona,2025,4,2025-T4,1172.21
Barcelona,2026,1,2026-T1,733.52
Burgos,2004,1,2004-T1,293.2
Burgos,2004,2,2004-T2,253.9
Burgos,2004,3,2004-T3,450.7
Burgos,2004,4,2004-T4,364.3
Burgos,2005,1,2005-T1,251.7
Burgos,2005,2,2005-T2,208.5
Burgos,2005,3,2005-T3,255.1
Burgos,2005,4,2005-T4,186.3
Burgos,2006,1,2006-T1,350.0
Burgos,2006,2,2006-T2,127.4
Burgos,2006,3,2006-T3,229.0
Burgos,2006,4,2006-T4,315.7
Burgos,2007,1,2007-T1,212.8
Burgos,2007,2,2007-T2,271.5
Burgos,2007,3,2007-T3,113.65423
Burgos,2007,4,2007-T4,194.5
Burgos,2008,1,2008-T1,97.4
Burgos,2008,2,2008-T2,98.5
Burgos,2008,3,2008-T3,52.85
Burgos,2008,4,2008-T4,55.51
Burgos,2009,1,2009-T1,66.17
Burgos,2009,2,2009-T2,36.04
Burgos,2009,3,2009-T3,43.36
Burgos,2009,4,2009-T4,57.14
Burgos,2010,1,2010-T1,45.82
Burgos,2010,2,2010-T2,42.46
Burgos,2010,3,2010-T3,251.77
Burgos,2010,4,2010-T4,70.7
Burgos,2011,1,2011-T1,60.9
Burgos,2011,2,2011-T2,51.92
Burgos,2011,3,2011-T3,98.56
Burgos,2011,4,2011-T4,85.42
Burgos,2012,1,2012-T1,105.38
Burgos,2012,2,2012-T2,117.36
Burgos,2012,3,2012-T3,67.13
Burgos,2012,4,2012-T4,22.98
Burgos,2013,1,2013-T1,156.72
Burgos,2013,2,2013-T2,182.15
Burgos,2013,3,2013-T3,33.4
Burgos,2013,4,2013-T4,63.21
Burgos,2014,1,2014-T1,45.68
Burgos,2014,2,2014-T2,32.62
Burgos,2014,3,2014-T3,113.81
Burgos,2014,4,2014-T4,62.8
Burgos,2015,1,2015-T1,66.84
Burgos,2015,2,2015-T2,146.97
Burgos,2015,3,2015-T3,55.93
Burgos,2015,4,2015-T4,127.82
Burgos,2016,1,2016-T1,122.3
Burgos,2016,2,2016-T2,39.03
Burgos,2016,3,2016-T3,32.62
Burgos,2016,4,2016-T4,44.14
Burgos,2017,1,2017-T1,20.27
Burgos,2017,2,2017-T2,67.75
Burgos,2017,3,2017-T3,78.09
Burgos,2017,4,2017-T4,65.38
Burgos,2018,1,2018-T1,134.12
Burgos,2018,2,2018-T2,423.85
Burgos,2018,3,2018-T3,109.46
Burgos,2018,4,2018-T4,136.74
Burgos,2019,1,2019-T1,49.36
Burgos,2019,2,2019-T2,16.53
Burgos,2019,3,2019-T3,52.7
Burgos,2019,4,2019-T4,20.93
Burgos,2020,1,2020-T1,16.57
Burgos,2020,2,2020-T2,14.39
Burgos,2020,3,2020-T3,50.25
Burgos,2020,4,2020-T4,77.43
Burgos,2021,1,2021-T1,62.6
Burgos,2021,2,2021-T2,136.83
Burgos,2021,3,2021-T3,104.18
Burgos,2021,4,2021-T4,118.95
Burgos,2022,1,2022-T1,60.89
Burgos,2022,2,2022-T2,184.42
Burgos,2022,3,2022-T3,74.46
Burgos,2022,4,2022-T4,68.11
Burgos,2023,1,2023-T1,61.63
Burgos,2023,2,2023-T2,348.95
Burgos,2023,3,2023-T3,68.71
Burgos,2023,4,2023-T4,82.64
Burgos,2024,1,2024-T1,79.47
Burgos,2024,2,2024-T2,57.07
Burgos,2024,3,2024-T3,55.25
Burgos,2024,4,2024-T4,55.02
Burgos,2025,1,2025-T1,56.46
Burgos,2025,2,2025-T2,88.84
Burgos,2025,3,2025-T3,106.6
Burgos,2025,4,2025-T4,101.01
Burgos,2026,1,2026-T1,110.56
Castellón/Castelló,2004,1,2004-T1,331.7
Castellón/Castelló,2004,2,2004-T2,212.8
Castellón/Castelló,2004,3,2004-T3,328.6
Castellón/Castelló,2004,4,2004-T4,370.2
