codigo_ccaa,ccaa,anio,trimestre,periodo,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano
10,Comunitat Valenciana,2017,3,2017T3,63.158,57.27,64.297
10,Comunitat Valenciana,2017,4,2017T4,63.878,57.734,65.06
10,Comunitat Valenciana,2018,1,2018T1,64.306,58.611,65.41
10,Comunitat Valenciana,2018,2,2018T2,65.139,58.899,66.34
10,Comunitat Valenciana,2018,3,2018T3,66.11,59.992,67.291
10,Comunitat Valenciana,2018,4,2018T4,66.529,62.846,67.278
10,Comunitat Valenciana,2019,1,2019T1,66.986,63.307,67.735
10,Comunitat Valenciana,2019,2,2019T2,68.229,64.775,68.941
10,Comunitat Valenciana,2019,3,2019T3,68.896,63.887,69.878
10,Comunitat Valenciana,2019,4,2019T4,69.038,65.034,69.846
10,Comunitat Valenciana,2020,1,2020T1,69.334,66.915,69.851
10,Comunitat Valenciana,2020,2,2020T2,69.322,66.014,70.002
10,Comunitat Valenciana,2020,3,2020T3,70.301,69.652,70.492
10,Comunitat Valenciana,2020,4,2020T4,70.184,68.188,70.623
10,Comunitat Valenciana,2021,1,2021T1,70.174,67.735,70.711
10,Comunitat Valenciana,2021,2,2021T2,72.314,69.515,72.929
10,Comunitat Valenciana,2021,3,2021T3,73.792,71.267,74.347
10,Comunitat Valenciana,2021,4,2021T4,74.934,73.027,75.354
10,Comunitat Valenciana,2022,1,2022T1,76.447,74.596,76.854
10,Comunitat Valenciana,2022,2,2022T2,78.108,75.587,78.671
10,Comunitat Valenciana,2022,3,2022T3,78.892,76.238,79.485
