codigo_provincia,provincia,provincia_original,anio,trimestre,periodo,valor_tasado_m2,valor_original,hoja_origen
03,Alicante/Alacant,Alicante/Alacant,1995,4,1995T4,471.0,471,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1996,1,1996T1,469.5,469.5,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1996,2,1996T2,502.4,502.4,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1996,3,1996T3,497.9,497.9,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1996,4,1996T4,499.4,499.4,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1997,1,1997T1,506.9,506.9,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1997,2,1997T2,509.9,509.9,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1997,3,1997T3,518.8,518.8,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1997,4,1997T4,512.9,512.9,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1998,1,1998T1,530.8,530.8,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1998,2,1998T2,562.2,562.2,"1995, 1996, 1997, 1998"
