codigo_ccaa,ccaa,ccaa_original,anio,trimestre,periodo,tipo_vivienda,tipo_indicador,valor,valor_original
01,Andalucía,01 Andalucía,2019,2,2019T2,General,Variación trimestral,1.9,"1,9"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda nueva,Variación trimestral,2.6,"2,6"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda segunda mano,Variación trimestral,1.8,"1,8"
01,Andalucía,01 Andalucía,2019,2,2019T2,General,Índice,65.216,"65,216"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda nueva,Índice,56.903,"56,903"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda segunda mano,Índice,66.646,"66,646"
01,Andalucía,01 Andalucía,2019,3,2019T3,General,Variación anual,5.9,"5,9"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda nueva,Variación anual,9.4,"9,4"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda segunda mano,Variación anual,5.5,"5,5"
01,Andalucía,01 Andalucía,2019,3,2019T3,General,Variación en lo que va de año,4.8,"4,8"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda nueva,Variación en lo que va de año,8.8,"8,8"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda segunda mano,Variación en lo que va de año,4.4,"4,4"
01,Andalucía,01 Andalucía,2019,3,2019T3,General,Variación trimestral,2.1,"2,1"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda nueva,Variación trimestral,5.0,"5,0"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda segunda mano,Variación trimestral,1.8,"1,8"
01,Andalucía,01 Andalucía,2019,3,2019T3,General,Índice,66.605,"66,605"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda nueva,Índice,59.77,"59,770"
01,Andalucía,01 Andalucía,2019,3,2019T3,Vivienda segunda mano,Índice,67.845,"67,845"
01,Andalucía,01 Andalucía,2019,4,2019T4,General,Variación anual,4.1,"4,1"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda nueva,Variación anual,6.5,"6,5"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda segunda mano,Variación anual,3.9,"3,9"
01,Andalucía,01 Andalucía,2019,4,2019T4,General,Variación en lo que va de año,4.1,"4,1"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda nueva,Variación en lo que va de año,6.5,"6,5"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda segunda mano,Variación en lo que va de año,3.9,"3,9"
01,Andalucía,01 Andalucía,2019,4,2019T4,General,Variación trimestral,-0.7,"-0,7"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda nueva,Variación trimestral,-2.1,"-2,1"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda segunda mano,Variación trimestral,-0.5,"-0,5"
01,Andalucía,01 Andalucía,2019,4,2019T4,General,Índice,66.17,"66,170"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda nueva,Índice,58.53,"58,530"
01,Andalucía,01 Andalucía,2019,4,2019T4,Vivienda segunda mano,Índice,67.516,"67,516"
01,Andalucía,01 Andalucía,2020,1,2020T1,General,Variación anual,4.1,"4,1"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda nueva,Variación anual,7.4,"7,4"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda segunda mano,Variación anual,3.7,"3,7"
01,Andalucía,01 Andalucía,2020,1,2020T1,General,Variación en lo que va de año,0.7,"0,7"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda nueva,Variación en lo que va de año,1.8,"1,8"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda segunda mano,Variación en lo que va de año,0.6,"0,6"
01,Andalucía,01 Andalucía,2020,1,2020T1,General,Variación trimestral,0.7,"0,7"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda nueva,Variación trimestral,1.8,"1,8"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda segunda mano,Variación trimestral,0.6,"0,6"
01,Andalucía,01 Andalucía,2020,1,2020T1,General,Índice,66.665,"66,665"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda nueva,Índice,59.57,"59,570"
01,Andalucía,01 Andalucía,2020,1,2020T1,Vivienda segunda mano,Índice,67.923,"67,923"
01,Andalucía,01 Andalucía,2020,2,2020T2,General,Variación anual,2.4,"2,4"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda nueva,Variación anual,6.9,"6,9"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda segunda mano,Variación anual,1.8,"1,8"
01,Andalucía,01 Andalucía,2020,2,2020T2,General,Variación en lo que va de año,0.9,"0,9"
