codigo_ccaa,ccaa,anio,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano,ipv_general_variacion_pct,ipv_vivienda_nueva_variacion_pct,ipv_segunda_mano_variacion_pct
17,"Rioja, La",2020,70.474,67.825,70.6,1.885,5.796,1.491
17,"Rioja, La",2021,72.97,71.549,72.953,3.542,5.491,3.333
17,"Rioja, La",2022,78.187,76.628,78.182,7.15,7.099,7.168
17,"Rioja, La",2023,80.385,81.382,80.056,2.811,6.204,2.397
17,"Rioja, La",2024,87.795,89.715,87.276,9.218,10.239,9.019
17,"Rioja, La",2025,100.0,100.0,100.0,13.902,11.464,14.579
18,Ceuta,2015,49.663,,,,,
18,Ceuta,2016,52.223,,,5.155,,
18,Ceuta,2017,55.747,,,6.748,,
18,Ceuta,2018,60.473,,,8.478,,
18,Ceuta,2019,65.14,,,7.717,,
18,Ceuta,2020,68.015,,,4.414,,
18,Ceuta,2021,70.538,,,3.709,,
18,Ceuta,2022,76.599,,,8.593,,
18,Ceuta,2023,80.822,,,5.513,,
18,Ceuta,2024,88.185,,,9.11,,
18,Ceuta,2025,100.0,,,13.398,,
19,Melilla,2015,51.054,,,,,
19,Melilla,2016,53.78,,,5.339,,
19,Melilla,2017,56.606,,,5.255,,
19,Melilla,2018,61.015,,,7.789,,
19,Melilla,2019,64.218,,,5.25,,
19,Melilla,2020,67.107,,,4.499,,
19,Melilla,2021,71.36,,,6.338,,
19,Melilla,2022,77.334,,,8.372,,
19,Melilla,2023,81.468,,,5.346,,
19,Melilla,2024,87.996,,,8.013,,
19,Melilla,2025,100.0,,,13.642,,
