provincia,anio,numero_transacciones,n_trimestres_disponibles
Guipúzcoa,2025,57.0,4
Guipúzcoa,2026,9.0,1
Huelva,2004,650.0,4
Huelva,2005,531.0,4
Huelva,2006,535.0,4
Huelva,2007,658.0,4
Huelva,2008,621.0,4
Huelva,2009,370.0,4
Huelva,2010,292.0,4
Huelva,2011,318.0,4
Huelva,2012,262.0,4
Huelva,2013,271.0,4
Huelva,2014,185.0,4
Huelva,2015,425.0,4
Huelva,2016,186.0,4
Huelva,2017,261.0,4
Huelva,2018,239.0,4
Huelva,2019,493.0,4
Huelva,2020,172.0,4
Huelva,2021,340.0,4
Huelva,2022,298.0,4
Huelva,2023,231.0,4
Huelva,2024,267.0,4
Huelva,2025,597.0,4
Huelva,2026,85.0,1
Huesca,2004,664.0,4
Huesca,2005,789.0,4
Huesca,2006,487.0,4
Huesca,2007,335.0,4
Huesca,2008,223.0,4
Huesca,2009,163.0,4
Huesca,2010,153.0,4
Huesca,2011,104.0,4
Huesca,2012,155.0,4
Huesca,2013,85.0,4
Huesca,2014,119.0,4
Huesca,2015,101.0,4
Huesca,2016,105.0,4
Huesca,2017,153.0,4
Huesca,2018,141.0,4
Huesca,2019,127.0,4
Huesca,2020,116.0,4
Huesca,2021,195.0,4
Huesca,2022,206.0,4
Huesca,2023,200.0,4
Huesca,2024,155.0,4
Huesca,2025,231.0,4
Huesca,2026,28.0,1
Jaén,2004,781.0,4
Jaén,2005,784.0,4
Jaén,2006,1060.0,4
Jaén,2007,1228.0,4
Jaén,2008,932.0,4
Jaén,2009,648.0,4
Jaén,2010,667.0,4
Jaén,2011,568.0,4
Jaén,2012,434.0,4
Jaén,2013,358.0,4
Jaén,2014,313.0,4
Jaén,2015,390.0,4
Jaén,2016,348.0,4
Jaén,2017,459.0,4
Jaén,2018,436.0,4
Jaén,2019,368.0,4
Jaén,2020,350.0,4
Jaén,2021,573.0,4
Jaén,2022,488.0,4
Jaén,2023,377.0,4
Jaén,2024,291.0,4
Jaén,2025,406.0,4
Jaén,2026,101.0,1
León,2004,1175.0,4
León,2005,1017.0,4
León,2006,736.0,4
León,2007,815.0,4
León,2008,583.0,4
León,2009,396.0,4
León,2010,293.0,4
León,2011,293.0,4
León,2012,309.0,4
León,2013,272.0,4
León,2014,252.0,4
León,2015,229.0,4
León,2016,202.0,4
León,2017,273.0,4
León,2018,307.0,4
León,2019,292.0,4
León,2020,258.0,4
León,2021,402.0,4
León,2022,302.0,4
León,2023,354.0,4
León,2024,307.0,4
León,2025,400.0,4
León,2026,97.0,1
Lleida,2004,1884.0,4
Lleida,2005,1658.0,4
Lleida,2006,1331.0,4
Lleida,2007,1019.0,4
Lleida,2008,637.0,4
Lleida,2009,380.0,4
Lleida,2010,297.0,4
Lleida,2011,242.0,4
Lleida,2012,197.0,4
Lleida,2013,208.0,4
Lleida,2014,269.0,4
Lleida,2015,257.0,4
Lleida,2016,264.0,4
Lleida,2017,343.0,4
Lleida,2018,309.0,4
Lleida,2019,277.0,4
Lleida,2020,228.0,4
Lleida,2021,367.0,4
Lleida,2022,302.0,4
Lleida,2023,297.0,4
Lleida,2024,274.0,4
Lleida,2025,385.0,4
Lleida,2026,138.0,1
Lugo,2004,365.0,4
Lugo,2005,345.0,4
Lugo,2006,281.0,4
Lugo,2007,229.0,4
Lugo,2008,121.0,4
Lugo,2009,132.0,4
Lugo,2010,107.0,4
Lugo,2011,55.0,4
Lugo,2012,56.0,4
Lugo,2013,68.0,4
Lugo,2014,60.0,4
Lugo,2015,87.0,4
Lugo,2016,42.0,4
Lugo,2017,74.0,4
Lugo,2018,84.0,4
Lugo,2019,61.0,4
Lugo,2020,50.0,4
Lugo,2021,79.0,4
Lugo,2022,98.0,4
Lugo,2023,66.0,4
Lugo,2024,58.0,4
Lugo,2025,116.0,4
Lugo,2026,16.0,1
Melilla,2004,20.0,4
Melilla,2005,73.0,4
Melilla,2006,18.0,4
Melilla,2007,9.0,4
Melilla,2008,13.0,4
Melilla,2009,22.0,4
Melilla,2010,52.0,4
Melilla,2011,13.0,4
Melilla,2012,8.0,4
Melilla,2013,4.0,4
Melilla,2014,2.0,4
Melilla,2015,11.0,4
Melilla,2016,8.0,4
Melilla,2017,4.0,4
Melilla,2018,2.0,4
Melilla,2019,9.0,4
Melilla,2020,1.0,4
Melilla,2021,9.0,4
Melilla,2022,3.0,4
Melilla,2023,4.0,4
Melilla,2024,6.0,4
Melilla,2025,1.0,4
Melilla,2026,3.0,1
Málaga,2004,1847.0,4
Málaga,2005,1326.0,4
Málaga,2006,1907.0,4
Málaga,2007,1765.0,4
Málaga,2008,1098.0,4
Málaga,2009,859.0,4
Málaga,2010,755.0,4
Málaga,2011,640.0,4
Málaga,2012,449.0,4
Málaga,2013,834.0,4
Málaga,2014,699.0,4
Málaga,2015,650.0,4
Málaga,2016,862.0,4
Málaga,2017,907.0,4
Málaga,2018,1085.0,4
Málaga,2019,1088.0,4
Málaga,2020,608.0,4
Málaga,2021,1393.0,4
Málaga,2022,1133.0,4
Málaga,2023,918.0,4
Málaga,2024,913.0,4
Málaga,2025,976.0,4
Málaga,2026,293.0,1
Ourense,2004,299.0,4
Ourense,2005,242.0,4
Ourense,2006,243.0,4
Ourense,2007,173.0,4
Ourense,2008,159.0,4
Ourense,2009,117.0,4
Ourense,2010,97.0,4
Ourense,2011,59.0,4
Ourense,2012,51.0,4
Ourense,2013,42.0,4
Ourense,2014,51.0,4
Ourense,2015,64.0,4
Ourense,2016,42.0,4
Ourense,2017,71.0,4
Ourense,2018,78.0,4
Ourense,2019,51.0,4
Ourense,2020,45.0,4
Ourense,2021,66.0,4
Ourense,2022,67.0,4
Ourense,2023,56.0,4
Ourense,2024,38.0,4
Ourense,2025,74.0,4
Ourense,2026,28.0,1
Palencia,2004,495.0,4
Palencia,2005,322.0,4
Palencia,2006,494.0,4
Palencia,2007,170.0,4
Palencia,2008,203.0,4
Palencia,2009,199.0,4
Palencia,2010,175.0,4
Palencia,2011,160.0,4
Palencia,2012,118.0,4
Palencia,2013,108.0,4
Palencia,2014,77.0,4
Palencia,2015,106.0,4
Palencia,2016,80.0,4
Palencia,2017,81.0,4
Palencia,2018,106.0,4
Palencia,2019,91.0,4
Palencia,2020,89.0,4
Palencia,2021,200.0,4
Palencia,2022,158.0,4
Palencia,2023,122.0,4
Palencia,2024,144.0,4
Palencia,2025,161.0,4
Palencia,2026,46.0,1
Palmas (Las),2004,1800.0,4
Palmas (Las),2005,1442.0,4
Palmas (Las),2006,1203.0,4
Palmas (Las),2007,759.0,4
Palmas (Las),2008,353.0,4
Palmas (Las),2009,312.0,4
Palmas (Las),2010,248.0,4
Palmas (Las),2011,246.0,4
Palmas (Las),2012,182.0,4
Palmas (Las),2013,162.0,4
Palmas (Las),2014,373.0,4
Palmas (Las),2015,220.0,4
Palmas (Las),2016,296.0,4
Palmas (Las),2017,297.0,4
Palmas (Las),2018,385.0,4
Palmas (Las),2019,309.0,4
Palmas (Las),2020,241.0,4
Palmas (Las),2021,294.0,4
Palmas (Las),2022,306.0,4
Palmas (Las),2023,340.0,4
Palmas (Las),2024,486.0,4
Palmas (Las),2025,407.0,4
Palmas (Las),2026,112.0,1
Pontevedra,2004,666.0,4
Pontevedra,2005,662.0,4
Pontevedra,2006,546.0,4
Pontevedra,2007,320.0,4
Pontevedra,2008,201.0,4
Pontevedra,2009,224.0,4
Pontevedra,2010,178.0,4
Pontevedra,2011,150.0,4
Pontevedra,2012,101.0,4
Pontevedra,2013,108.0,4
Pontevedra,2014,107.0,4
Pontevedra,2015,188.0,4
Pontevedra,2016,116.0,4
Pontevedra,2017,165.0,4
Pontevedra,2018,212.0,4
Pontevedra,2019,195.0,4
Pontevedra,2020,136.0,4
Pontevedra,2021,241.0,4
Pontevedra,2022,185.0,4
Pontevedra,2023,138.0,4
Pontevedra,2024,129.0,4
Pontevedra,2025,234.0,4
Pontevedra,2026,62.0,1
Salamanca,2004,745.0,4
Salamanca,2005,524.0,4
