periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2015T2;30;Murcia;1465195;21,46;40,50;17,15;2,90;23,30;15798,00;17253,00;13842,00;45,22;24,77;101,00;93,72;61,35;61,80;2,51;-3,32;997,78;-1,29;2553;17,23;82907,55;400;5,05
2015T3;30;Murcia;1465195;21,46;40,50;17,15;2,90;23,30;15798,00;17253,00;13842,00;45,28;23,49;99,72;90,26;61,58;62,30;2,45;-3,36;985,83;-1,29;3109;15,18;79245,40;466;4,99
2015T4;30;Murcia;1465195;21,46;40,50;17,15;2,90;23,30;15798,00;17253,00;13842,00;45,36;23,51;100,44;92,91;61,06;63,20;2,43;-3,27;1000,66;-1,29;2899;14,76;85266,03;360;5,07
2016T1;30;Murcia;1468367;20,77;40,95;17,42;2,90;23,40;15979,00;17516,00;13938,00;45,83;22,10;98,25;88,55;61,09;63,90;2,33;-3,32;971,47;0,75;2747;16,75;78496,44;542;4,86
2016T2;30;Murcia;1468367;20,77;40,95;17,42;2,90;23,40;15979,00;17516,00;13938,00;48,19;18,70;100,05;92,68;62,18;63,80;2,32;-3,60;984,95;0,75;3464;16,20;75048,19;471;4,93
2016T3;30;Murcia;1468367;20,77;40,95;17,42;2,90;23,40;15979,00;17516,00;13938,00;47,63;19,75;99,54;89,74;62,02;63,80;2,37;-3,16;979,70;0,75;2934;16,29;79924,81;331;4,90
2016T4;30;Murcia;1468367;20,77;40,95;17,42;2,90;23,40;15979,00;17516,00;13938,00;48,10;18,58;101,33;93,20;61,49;64,20;2,27;-3,10;983,19;0,75;2586;15,27;84277,78;614;4,92
2017T1;30;Murcia;1475275;20,22;41,28;17,68;2,90;23,50;16282,00;17913,00;14145,00;47,97;19,34;100,84;90,09;61,64;64,80;2,24;-2,96;981,92;-0,68;3194;15,25;78346,54;602;4,82
2017T2;30;Murcia;1475275;20,22;41,28;17,68;2,90;23,50;16282,00;17913,00;14145,00;49,19;17,47;101,71;93,77;62,35;65,00;2,17;-2,83;987,99;-0,68;3335;13,82;75622,57;644;4,85
2017T3;30;Murcia;1475275;20,22;41,28;17,68;2,90;23,50;16282,00;17913,00;14145,00;48,86;18,11;100,54;91,13;63,12;64,90;2,22;-2,84;973,12;-0,68;3577;17,25;76670,29;429;4,78
2017T4;30;Murcia;1475275;20,22;41,28;17,68;2,90;23,50;16282,00;17913,00;14145,00;49,13;17,21;102,24;94,80;62,63;65,60;2,15;-2,79;1012,24;-0,68;3079;14,88;78287,83;558;4,97
2018T1;30;Murcia;1478718;19,90;41,48;17,82;2,80;23,70;16828,00;18534,00;14626,00;47,97;18,60;101,33;91,97;63,32;65,50;2,23;-2,60;1003,70;5,97;3976;17,83;79449,49;788;4,77
2018T2;30;Murcia;1478718;19,90;41,48;17,82;2,80;23,70;16828,00;18534,00;14626,00;49,81;16,29;103,21;95,37;63,98;64,90;2,20;-2,19;1017,47;5,97;4214;16,23;81253,74;903;4,84
2018T3;30;Murcia;1478718;19,90;41,48;17,82;2,80;23,70;16828,00;18534,00;14626,00;49,57;16,33;102,72;92,55;65,59;65,90;2,17;-1,81;989,27;5,97;4382;14,76;89022,90;805;4,70
2018T4;30;Murcia;1478718;19,90;41,48;17,82;2,80;23,70;16828,00;18534,00;14626,00;50,14;15,83;103,74;96,51;65,43;66,50;2,26;-1,57;1013,42;5,97;3865;18,42;81214,85;838;4,82
2019T1;30;Murcia;1491312;19,79;41,51;18,05;2,80;23,80;17460,00;19214,00;15225,00;49,80;15,12;102,09;92,79;66,14;64,60;2,37;-1,25;1024,04;10,07;4276;16,44;84075,14;975;4,69
