periodo;codigo_provincia;provincia;comunidad_autonoma;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;tasa_migracion_neta_exterior_por_1000_habitantes;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;renta_neta_media_por_hogar_eur;renta_mediana_por_unidad_consumo_eur;indice_precios_consumo_base_2015;indice_costes_construccion;tipo_interes_prestamos_vivienda_pct;importe_medio_hipoteca_vivienda_eur;valor_tasado_m2;ipv_general;compraventas_por_1000_hab;pct_compraventas_vivienda_nueva;visados_obra_nueva_por_1000_hab;plazas_hoteleras_por_1000_hab;pernoctaciones_por_habitante;valores_arrastrados;precio_m2_mercado;IAV_hombre;IAV_mujer;brecha_iav_absoluta;IAV_total
2023T1;28;Madrid;Madrid, Comunidad de;6871903,0;19,857;41,42;21,472;2,6;26,4;84,5;21,9;30769,0;34621,0;26673,0;63,26;56,41;10,83;48806,0;22050,0;116,7;112,827;3,593;210362,25;2978,3;79,919;2,892;24,5;0,726;17,027;0,798;0;3307,572;7,643;9,92;2,277;8,6
2023T2;28;Madrid;Madrid, Comunidad de;6871903,0;19,857;41,42;21,472;2,6;26,4;84,5;21,9;30769,0;34621,0;26673,0;63,42;57,65;9,11;48806,0;22050,0;117,88;116,6;3,887;208298,38;2978,6;81,641;2,71;24,04;0,503;17,078;0,977;0;3378,839;7,808;10,134;2,327;8,785
2023T3;28;Madrid;Madrid, Comunidad de;6871903,0;19,857;41,42;21,472;2,6;26,4;84,5;21,9;30769,0;34621,0;26673,0;63,11;56,65;10,24;48806,0;22050,0;118,99;112,777;4,057;198887,55;3008,1;83,52;2,397;19,08;0,704;17,436;0,943;0;3456,605;7,987;10,367;2,38;8,987
2023T4;28;Madrid;Madrid, Comunidad de;6871903,0;19,857;41,42;21,472;2,6;26,4;84,5;21,9;30769,0;34621,0;26673,0;63,19;57,1;9,64;48806,0;22050,0;119,41;117,607;4,03;191133,43;3080,0;82,634;2,18;20,14;0,608;17,434;0,959;0;3419,936;7,903;10,257;2,355;8,892
2024T1;28;Madrid;Madrid, Comunidad de;7009268,0;19,857;41,42;21,472;2,6;26,4;84,5;16,26;31911,0;35873,0;27731,0;63,27;57,46;9,19;48806,0;22050,0;119,99;113,317;3,693;167057,64;3116,7;84,621;2,635;22,16;0,756;17,444;0,856;1;3502,171;7,81;10,103;2,293;8,78
2024T2;28;Madrid;Madrid, Comunidad de;7009268,0;19,857;41,42;21,472;2,6;26,4;84,5;16,26;31911,0;35873,0;27731,0;62,71;57,39;8,48;48806,0;22050,0;121,88;117,41;3,55;205799,52;3198,0;87,504;2,502;19,95;0,857;17,683;1,018;1;3621,489;8,076;10,447;2,371;9,079
2024T3;28;Madrid;Madrid, Comunidad de;7009268,0;19,857;41,42;21,472;2,6;26,4;84,5;16,26;31911,0;35873,0;27731,0;63,13;57,04;9,65;48806,0;22050,0;121,53;114,163;3,45;222274,13;3274,6;89,567;2,886;18,07;0,756;17,524;0,953;1;3706,869;8,267;10,694;2,427;9,293
2024T4;28;Madrid;Madrid, Comunidad de;7009268,0;19,857;41,42;21,472;2,6;26,4;84,5;16,26;31911,0;35873,0;27731,0;63,48;58,03;8,58;48806,0;22050,0;122,33;118,19;3,167;226028,85;3370,5;91,164;3,097;25,35;0,49;17,646;0,994;1;3772,963;8,414;10,884;2,47;9,459
2015T1;52;Melilla;Melilla;85009,0;24,406;37,02;10,881;3,2;18,6;84,5;0,17;21002,0;23134,0;17853,0;58,11;37,54;35,4;35196,0;11550,0;98,99;90,33;2,613;126719,01;1505,1;48,782;1,576;20,15;0,423;9,964;0,407;0;1402,296;4,849;6,284;1,434;5,342
2015T2;52;Melilla;Melilla;85009,0;24,406;37,02;10,881;3,2;18,6;84,5;0,17;21002,0;23134,0;17853,0;57,46;36,58;36,35;35196,0;11550,0;100,64;93,72;2,507;158976,3;1434,4;51,293;1,176;11,0;0,482;9,909;0,443;0;1474,478;5,099;6,607;1,508;5,617
