codigo_provincia,provincia,anio,sexo,variable,valor
03,Alicante/Alacant,2023,total,tasa_actividad_pct,58.3175
03,Alicante/Alacant,2023,total,tasa_empleo_pct,50.515
03,Alicante/Alacant,2023,total,tasa_paro_pct,13.3925
03,Alicante/Alacant,2024,hombres,tasa_actividad_pct,63.2125
03,Alicante/Alacant,2024,hombres,tasa_empleo_pct,55.7425
03,Alicante/Alacant,2024,hombres,tasa_paro_pct,11.807500000000001
03,Alicante/Alacant,2024,mujeres,tasa_actividad_pct,50.995
03,Alicante/Alacant,2024,mujeres,tasa_empleo_pct,42.932500000000005
03,Alicante/Alacant,2024,mujeres,tasa_paro_pct,15.8225
03,Alicante/Alacant,2024,total,tasa_actividad_pct,56.985
03,Alicante/Alacant,2024,total,tasa_empleo_pct,49.2175
03,Alicante/Alacant,2024,total,tasa_paro_pct,13.64
03,Alicante/Alacant,2025,hombres,tasa_actividad_pct,63.5125
03,Alicante/Alacant,2025,hombres,tasa_empleo_pct,56.8975
03,Alicante/Alacant,2025,hombres,tasa_paro_pct,10.43
03,Alicante/Alacant,2025,mujeres,tasa_actividad_pct,51.802499999999995
03,Alicante/Alacant,2025,mujeres,tasa_empleo_pct,44.045
03,Alicante/Alacant,2025,mujeres,tasa_paro_pct,14.975
03,Alicante/Alacant,2025,total,tasa_actividad_pct,57.57
03,Alicante/Alacant,2025,total,tasa_empleo_pct,50.3775
03,Alicante/Alacant,2025,total,tasa_paro_pct,12.5075
04,Almería,2015,hombres,tasa_actividad_pct,67.08500000000001
04,Almería,2015,hombres,tasa_empleo_pct,49.629999999999995
04,Almería,2015,hombres,tasa_paro_pct,25.9875
04,Almería,2015,mujeres,tasa_actividad_pct,53.89
04,Almería,2015,mujeres,tasa_empleo_pct,36.21
04,Almería,2015,mujeres,tasa_paro_pct,32.7675
04,Almería,2015,total,tasa_actividad_pct,60.52
04,Almería,2015,total,tasa_empleo_pct,42.9525
04,Almería,2015,total,tasa_paro_pct,28.99
04,Almería,2016,hombres,tasa_actividad_pct,67.0575
04,Almería,2016,hombres,tasa_empleo_pct,51.7975
04,Almería,2016,hombres,tasa_paro_pct,22.755
04,Almería,2016,mujeres,tasa_actividad_pct,52.985
04,Almería,2016,mujeres,tasa_empleo_pct,39.9125
04,Almería,2016,mujeres,tasa_paro_pct,24.642500000000002
04,Almería,2016,total,tasa_actividad_pct,60.0575
04,Almería,2016,total,tasa_empleo_pct,45.8925
04,Almería,2016,total,tasa_paro_pct,23.5825
04,Almería,2017,hombres,tasa_actividad_pct,69.755
04,Almería,2017,hombres,tasa_empleo_pct,54.542500000000004
04,Almería,2017,hombres,tasa_paro_pct,21.805
04,Almería,2017,mujeres,tasa_actividad_pct,52.93
04,Almería,2017,mujeres,tasa_empleo_pct,38.205
04,Almería,2017,mujeres,tasa_paro_pct,27.815
04,Almería,2017,total,tasa_actividad_pct,61.3975
04,Almería,2017,total,tasa_empleo_pct,46.4325
04,Almería,2017,total,tasa_paro_pct,24.37
04,Almería,2018,hombres,tasa_actividad_pct,67.505
04,Almería,2018,hombres,tasa_empleo_pct,53.410000000000004
04,Almería,2018,hombres,tasa_paro_pct,20.8675
04,Almería,2018,mujeres,tasa_actividad_pct,51.44
04,Almería,2018,mujeres,tasa_empleo_pct,38.66
04,Almería,2018,mujeres,tasa_paro_pct,24.8775
04,Almería,2018,total,tasa_actividad_pct,59.53
04,Almería,2018,total,tasa_empleo_pct,46.0875
04,Almería,2018,total,tasa_paro_pct,22.5775
04,Almería,2019,hombres,tasa_actividad_pct,65.7725
04,Almería,2019,hombres,tasa_empleo_pct,55.8475
04,Almería,2019,hombres,tasa_paro_pct,15.0875
04,Almería,2019,mujeres,tasa_actividad_pct,52.3275
04,Almería,2019,mujeres,tasa_empleo_pct,41.4225
04,Almería,2019,mujeres,tasa_paro_pct,20.8275
04,Almería,2019,total,tasa_actividad_pct,59.1025
04,Almería,2019,total,tasa_empleo_pct,48.695
04,Almería,2019,total,tasa_paro_pct,17.615000000000002
04,Almería,2020,hombres,tasa_actividad_pct,66.9625
