codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
18,Granada,2023,3192310,1618166,2355372,1134690,5547685,2752860,2.0152441460880683,1.9727951273231548,2.07578457552283
18,Granada,2024,3133222,1542401,2818130,1311662,5951351,2854062,2.0852213441754244,2.031392614501676,2.148518444538303
18,Granada,2025,3252968,1558934,2854915,1311817,6107882,2870748,2.127627364018019,2.0866617829876057,2.176305841439774
19,Guadalajara,2015,357181,221902,50331,29096,407511,250997,1.6235692060064464,1.6096339825688817,1.729825405554028
19,Guadalajara,2016,410953,259464,55979,33188,466931,292652,1.5955161762092862,1.5838536367280238,1.6867241171507774
19,Guadalajara,2017,403750,257231,69551,40551,473301,297780,1.5894317952851098,1.5696008645925257,1.7151488249364997
19,Guadalajara,2018,426208,267948,78973,44116,505180,312064,1.6188345980311731,1.5906369892665742,1.7901214978692537
19,Guadalajara,2019,425530,262526,67429,38692,492960,301218,1.6365555843276298,1.6209061197748034,1.742711671663393
19,Guadalajara,2020,212636,117461,29907,11835,242540,129295,1.8758652693452957,1.8102689403291305,2.5269961977186313
19,Guadalajara,2021,310729,181312,35240,16335,345969,197646,1.750447770255912,1.7137806653723968,2.1573308846036117
19,Guadalajara,2022,386331,230888,88923,31564,475253,262451,1.8108256398337212,1.6732398392294099,2.8172284881510583
19,Guadalajara,2023,402141,225156,73563,34266,475702,259422,1.8336995320366045,1.7860550018653734,2.1468219226054983
19,Guadalajara,2024,420939,242288,67297,34962,488233,277249,1.7609910225104508,1.7373497655682493,1.924861277958927
19,Guadalajara,2025,466585,262385,83874,41113,550456,303498,1.8137055268897984,1.7782457076433484,2.040084644759565
20,Gipuzkoa,2015,1162803,593707,859910,426456,2022713,1020162,1.9827370554872656,1.9585468926591736,2.0164096647719814
20,Gipuzkoa,2016,1189540,611859,953972,462973,2143514,1074835,1.9942726092842158,1.9441407252324474,2.060534847604504
20,Gipuzkoa,2017,1243393,621944,996003,488137,2239395,1110082,2.0173239454382648,1.9992041084084742,2.040416932131758
20,Gipuzkoa,2018,1283258,631307,1053980,519208,2337238,1150513,2.0314746552190197,2.032700413586417,2.029976425632887
20,Gipuzkoa,2019,1268430,639533,1126696,557555,2395125,1197090,2.0007894143297498,1.9833691146508468,2.0207800127341695
20,Gipuzkoa,2020,646024,334687,319812,182955,965837,517643,1.8658361071240217,1.9302333224774193,1.7480364023940314
20,Gipuzkoa,2021,1130836,577268,549449,306255,1680283,883521,1.901803126354665,1.9589445456876182,1.7940898924099198
