codigo_provincia,provincia,anio,mes,periodo,variable,valor
01,Araba/Álava,2017,12,2017M12,plazas_estimadas,4291.0
01,Araba/Álava,2018,1,2018M01,establecimientos_abiertos_estimados,66.0
01,Araba/Álava,2018,1,2018M01,grado_ocupacion_habitaciones_pct,43.78
01,Araba/Álava,2018,1,2018M01,grado_ocupacion_plazas_fin_semana_pct,35.73
01,Araba/Álava,2018,1,2018M01,grado_ocupacion_plazas_pct,33.04
01,Araba/Álava,2018,1,2018M01,habitaciones_estimadas,2084.0
01,Araba/Álava,2018,1,2018M01,personal_empleado,396.0
01,Araba/Álava,2018,1,2018M01,plazas_estimadas,4078.0
01,Araba/Álava,2018,2,2018M02,establecimientos_abiertos_estimados,69.0
01,Araba/Álava,2018,2,2018M02,grado_ocupacion_habitaciones_pct,43.21
01,Araba/Álava,2018,2,2018M02,grado_ocupacion_plazas_fin_semana_pct,40.04
01,Araba/Álava,2018,2,2018M02,grado_ocupacion_plazas_pct,32.15
01,Araba/Álava,2018,2,2018M02,habitaciones_estimadas,2208.0
01,Araba/Álava,2018,2,2018M02,personal_empleado,463.0
01,Araba/Álava,2018,2,2018M02,plazas_estimadas,4328.0
01,Araba/Álava,2018,3,2018M03,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2018,3,2018M03,grado_ocupacion_habitaciones_pct,51.63
01,Araba/Álava,2018,3,2018M03,grado_ocupacion_plazas_fin_semana_pct,52.97
01,Araba/Álava,2018,3,2018M03,grado_ocupacion_plazas_pct,41.37
01,Araba/Álava,2018,3,2018M03,habitaciones_estimadas,2256.0
01,Araba/Álava,2018,3,2018M03,personal_empleado,479.0
01,Araba/Álava,2018,3,2018M03,plazas_estimadas,4426.0
01,Araba/Álava,2018,4,2018M04,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2018,4,2018M04,grado_ocupacion_habitaciones_pct,58.95
01,Araba/Álava,2018,4,2018M04,grado_ocupacion_plazas_fin_semana_pct,55.01
01,Araba/Álava,2018,4,2018M04,grado_ocupacion_plazas_pct,46.38
01,Araba/Álava,2018,4,2018M04,habitaciones_estimadas,2256.0
01,Araba/Álava,2018,4,2018M04,personal_empleado,480.0
01,Araba/Álava,2018,4,2018M04,plazas_estimadas,4425.0
01,Araba/Álava,2018,5,2018M05,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2018,5,2018M05,grado_ocupacion_habitaciones_pct,65.54
01,Araba/Álava,2018,5,2018M05,grado_ocupacion_plazas_fin_semana_pct,66.86
01,Araba/Álava,2018,5,2018M05,grado_ocupacion_plazas_pct,51.17
01,Araba/Álava,2018,5,2018M05,habitaciones_estimadas,2253.0
01,Araba/Álava,2018,5,2018M05,personal_empleado,488.0
01,Araba/Álava,2018,5,2018M05,plazas_estimadas,4420.0
01,Araba/Álava,2018,6,2018M06,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2018,6,2018M06,grado_ocupacion_habitaciones_pct,64.85
