provincia,anio,superficie_m2,n_trimestres_disponibles
Huelva,2012,135.45,4
Huelva,2013,282.0,4
Huelva,2014,180.78,4
Huelva,2015,369.56,4
Huelva,2016,116.74,4
Huelva,2017,235.45999999999998,4
Huelva,2018,182.07999999999998,4
Huelva,2019,239.45,4
Huelva,2020,179.09,4
Huelva,2021,316.6,4
Huelva,2022,304.35,4
Huelva,2023,235.18,4
Huelva,2024,344.33000000000004,4
Huelva,2025,395.37,4
Huelva,2026,75.32,1
Huesca,2004,968.0,4
Huesca,2005,3759.5,4
Huesca,2006,489.20000000000005,4
Huesca,2007,380.98467,4
Huesca,2008,173.83,4
Huesca,2009,169.37,4
Huesca,2010,97.72,4
Huesca,2011,77.59,4
Huesca,2012,150.32,4
Huesca,2013,75.61999999999999,4
Huesca,2014,177.32,4
Huesca,2015,151.59,4
Huesca,2016,92.28,4
Huesca,2017,149.01999999999998,4
Huesca,2018,240.11,4
Huesca,2019,131.18,4
Huesca,2020,173.28,4
Huesca,2021,320.46,4
Huesca,2022,239.88,4
Huesca,2023,233.71999999999997,4
Huesca,2024,122.46000000000001,4
Huesca,2025,342.71,4
Huesca,2026,17.65,1
Jaén,2004,283.9,4
Jaén,2005,393.0,4
Jaén,2006,764.0,4
Jaén,2007,657.32987,4
Jaén,2008,446.58,4
Jaén,2009,322.53,4
Jaén,2010,321.94,4
Jaén,2011,246.54000000000002,4
Jaén,2012,148.11,4
Jaén,2013,336.21,4
Jaén,2014,202.19,4
Jaén,2015,445.52,4
Jaén,2016,198.91,4
Jaén,2017,255.57,4
Jaén,2018,241.48,4
Jaén,2019,148.65,4
Jaén,2020,137.03,4
Jaén,2021,334.54999999999995,4
Jaén,2022,451.63,4
Jaén,2023,257.28,4
Jaén,2024,119.61999999999999,4
Jaén,2025,190.07999999999998,4
Jaén,2026,35.25,1
León,2004,1312.0,4
León,2005,1035.0,4
León,2006,870.9,4
León,2007,811.23293,4
León,2008,409.94,4
León,2009,409.72,4
León,2010,410.09000000000003,4
León,2011,205.73,4
León,2012,204.59,4
León,2013,259.31,4
León,2014,360.74,4
León,2015,149.34,4
León,2016,187.65,4
León,2017,210.27,4
León,2018,349.75,4
León,2019,290.64,4
León,2020,189.24,4
León,2021,369.18,4
León,2022,329.74,4
León,2023,600.73,4
León,2024,360.11,4
León,2025,381.74,4
León,2026,65.7,1
Lleida,2004,1819.7,4
Lleida,2005,1907.2,4
Lleida,2006,1503.4,4
Lleida,2007,1325.5451,4
Lleida,2008,1043.42,4
Lleida,2009,474.58000000000004,4
Lleida,2010,193.47,4
Lleida,2011,196.21,4
Lleida,2012,186.27,4
Lleida,2013,260.21000000000004,4
Lleida,2014,234.24,4
Lleida,2015,291.67,4
Lleida,2016,273.94,4
Lleida,2017,294.24,4
Lleida,2018,345.23,4
Lleida,2019,209.53,4
Lleida,2020,179.12,4
Lleida,2021,333.21000000000004,4
Lleida,2022,277.05,4
Lleida,2023,309.18,4
Lleida,2024,309.42,4
Lleida,2025,514.97,4
Lleida,2026,214.89,1
Lugo,2004,255.1,4
Lugo,2005,278.4,4
Lugo,2006,256.1,4
Lugo,2007,198.81035,4
Lugo,2008,106.22,4
Lugo,2009,184.89,4
Lugo,2010,105.61,4
Lugo,2011,100.52,4
Lugo,2012,64.32,4
Lugo,2013,51.29,4
Lugo,2014,49.97,4
Lugo,2015,96.51,4
Lugo,2016,37.19,4
Lugo,2017,68.75,4
Lugo,2018,89.22999999999999,4
Lugo,2019,49.459999999999994,4
Lugo,2020,96.87,4
Lugo,2021,81.94,4
Lugo,2022,92.53,4
Lugo,2023,61.99,4
Lugo,2024,84.61,4
Lugo,2025,123.69,4
Lugo,2026,14.77,1
Melilla,2004,8.6,4
Melilla,2005,14.0,4
Melilla,2006,55.7,4
Melilla,2007,1.263,4
Melilla,2008,5.83,4
Melilla,2009,2.56,4
Melilla,2010,5.04,4
Melilla,2011,10.66,4
Melilla,2012,0.6699999999999999,4
Melilla,2013,3.71,4
Melilla,2014,0.5,4
Melilla,2015,1.01,4
Melilla,2016,5.32,4
Melilla,2017,2.51,4
Melilla,2018,0.27,4
Melilla,2019,2.39,4
Melilla,2020,0.15,4
Melilla,2021,0.91,4
Melilla,2022,0.45,4
Melilla,2023,0.73,4
Melilla,2024,0.34,4
Melilla,2025,0.08,4
Melilla,2026,0.12,1
Málaga,2004,3582.4,4
Málaga,2005,2131.5,4
Málaga,2006,2863.1,4
Málaga,2007,3479.30564,4
Málaga,2008,2102.65,4
Málaga,2009,1428.33,4
Málaga,2010,1015.79,4
Málaga,2011,1146.1999999999998,4
Málaga,2012,1077.96,4
Málaga,2013,835.74,4
Málaga,2014,1922.8600000000001,4
Málaga,2015,1360.65,4
Málaga,2016,1677.06,4
Málaga,2017,2558.86,4
Málaga,2018,2155.27,4
Málaga,2019,1902.63,4
Málaga,2020,1088.56,4
Málaga,2021,2109.96,4
Málaga,2022,2017.79,4
Málaga,2023,1965.78,4
Málaga,2024,1898.19,4
Málaga,2025,1900.79,4
Málaga,2026,480.66,1
Ourense,2004,678.0,4
Ourense,2005,255.0,4
Ourense,2006,300.70000000000005,4
Ourense,2007,157.30871,4
Ourense,2008,114.59,4
Ourense,2009,86.82,4
Ourense,2010,87.52,4
Ourense,2011,58.84,4
Ourense,2012,27.36,4
Ourense,2013,35.82,4
Ourense,2014,37.66,4
Ourense,2015,57.96,4
Ourense,2016,53.5,4
Ourense,2017,50.629999999999995,4
Ourense,2018,67.92,4
Ourense,2019,37.94,4
Ourense,2020,127.86,4
Ourense,2021,66.96,4
Ourense,2022,51.13,4
Ourense,2023,22.63,4
Ourense,2024,36.9,4
Ourense,2025,70.58,4
Ourense,2026,20.12,1
Palencia,2004,811.3000000000001,4
Palencia,2005,501.4,4
Palencia,2006,804.6,4
Palencia,2007,217.77976,4
Palencia,2008,190.31,4
Palencia,2009,221.51,4
Palencia,2010,168.24,4
Palencia,2011,119.23,4
Palencia,2012,383.10999999999996,4
Palencia,2013,379.94,4
Palencia,2014,75.06,4
Palencia,2015,163.95,4
Palencia,2016,51.8,4
Palencia,2017,58.3,4
Palencia,2018,199.86,4
Palencia,2019,70.85,4
Palencia,2020,122.1,4
Palencia,2021,146.77,4
Palencia,2022,180.89999999999998,4
Palencia,2023,115.49000000000001,4
Palencia,2024,375.78,4
Palencia,2025,210.72,4
Palencia,2026,39.5,1
