codigo_provincia,provincia,provincia_original,anio,tipo_edificacion,tipo_dato,valor,valor_original,edificacion_normalizada,dato_normalizado,variable
12,Castellón/Castelló,12 Castellón/Castelló,2015,Total,Índice,100.0,"100,000",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2015,Vivienda colectiva,Índice,100.0,"100,000",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2015,Vivienda unifamiliar,Índice,100.0,"100,000",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2016,Total,Variación anual,1.1,"1,1",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2016,Vivienda colectiva,Variación anual,1.3,"1,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2016,Vivienda unifamiliar,Variación anual,-0.1,"-0,1",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2016,Total,Índice,101.066,"101,066",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2016,Vivienda colectiva,Índice,101.259,"101,259",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2016,Vivienda unifamiliar,Índice,99.924,"99,924",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2017,Total,Variación anual,1.3,"1,3",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2017,Vivienda colectiva,Variación anual,1.2,"1,2",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2017,Vivienda unifamiliar,Variación anual,2.3,"2,3",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2017,Total,Índice,102.411,"102,411",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2017,Vivienda colectiva,Índice,102.448,"102,448",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2017,Vivienda unifamiliar,Índice,102.186,"102,186",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2018,Total,Variación anual,2.2,"2,2",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2018,Vivienda colectiva,Variación anual,2.3,"2,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2018,Vivienda unifamiliar,Variación anual,1.1,"1,1",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2018,Total,Índice,104.627,"104,627",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2018,Vivienda colectiva,Índice,104.842,"104,842",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2018,Vivienda unifamiliar,Índice,103.34,"103,340",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2019,Total,Variación anual,3.2,"3,2",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2019,Vivienda colectiva,Variación anual,3.4,"3,4",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2019,Vivienda unifamiliar,Variación anual,1.5,"1,5",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
