provincia,anio,trimestre,periodo,numero_transacciones
Badajoz,2013,4,2013-T4,98.0
Badajoz,2014,1,2014-T1,86.0
Badajoz,2014,2,2014-T2,98.0
Badajoz,2014,3,2014-T3,119.0
Badajoz,2014,4,2014-T4,113.0
Badajoz,2015,1,2015-T1,87.0
Badajoz,2015,2,2015-T2,102.0
Badajoz,2015,3,2015-T3,84.0
Badajoz,2015,4,2015-T4,108.0
Badajoz,2016,1,2016-T1,91.0
Badajoz,2016,2,2016-T2,135.0
Badajoz,2016,3,2016-T3,127.0
Badajoz,2016,4,2016-T4,103.0
Badajoz,2017,1,2017-T1,102.0
Badajoz,2017,2,2017-T2,172.0
Badajoz,2017,3,2017-T3,133.0
Badajoz,2017,4,2017-T4,188.0
Badajoz,2018,1,2018-T1,111.0
Badajoz,2018,2,2018-T2,121.0
Badajoz,2018,3,2018-T3,144.0
Badajoz,2018,4,2018-T4,167.0
Badajoz,2019,1,2019-T1,134.0
Badajoz,2019,2,2019-T2,96.0
Badajoz,2019,3,2019-T3,138.0
Badajoz,2019,4,2019-T4,129.0
Badajoz,2020,1,2020-T1,84.0
Badajoz,2020,2,2020-T2,65.0
Badajoz,2020,3,2020-T3,105.0
Badajoz,2020,4,2020-T4,176.0
Badajoz,2021,1,2021-T1,183.0
Badajoz,2021,2,2021-T2,210.0
Badajoz,2021,3,2021-T3,138.0
Badajoz,2021,4,2021-T4,197.0
Badajoz,2022,1,2022-T1,212.0
Badajoz,2022,2,2022-T2,123.0
Badajoz,2022,3,2022-T3,85.0
Badajoz,2022,4,2022-T4,127.0
Badajoz,2023,1,2023-T1,108.0
Badajoz,2023,2,2023-T2,152.0
Badajoz,2023,3,2023-T3,107.0
Badajoz,2023,4,2023-T4,170.0
Badajoz,2024,1,2024-T1,96.0
Badajoz,2024,2,2024-T2,92.0
Badajoz,2024,3,2024-T3,104.0
Badajoz,2024,4,2024-T4,95.0
Badajoz,2025,1,2025-T1,131.0
Badajoz,2025,2,2025-T2,147.0
Badajoz,2025,3,2025-T3,147.0
Badajoz,2025,4,2025-T4,146.0
Badajoz,2026,1,2026-T1,161.0
Barcelona,2004,1,2004-T1,3175.0
Barcelona,2004,2,2004-T2,3097.0
Barcelona,2004,3,2004-T3,2524.0
Barcelona,2004,4,2004-T4,3211.0
Barcelona,2005,1,2005-T1,2580.0
Barcelona,2005,2,2005-T2,2897.0
Barcelona,2005,3,2005-T3,2392.0
Barcelona,2005,4,2005-T4,1976.0
Barcelona,2006,1,2006-T1,1814.0
Barcelona,2006,2,2006-T2,1761.0
Barcelona,2006,3,2006-T3,1382.0
Barcelona,2006,4,2006-T4,1689.0
Barcelona,2007,1,2007-T1,1132.0
Barcelona,2007,2,2007-T2,1093.0
Barcelona,2007,3,2007-T3,781.0
Barcelona,2007,4,2007-T4,750.0
Barcelona,2008,1,2008-T1,578.0
Barcelona,2008,2,2008-T2,513.0
Barcelona,2008,3,2008-T3,424.0
Barcelona,2008,4,2008-T4,415.0
Barcelona,2009,1,2009-T1,271.0
Barcelona,2009,2,2009-T2,298.0
Barcelona,2009,3,2009-T3,294.0
Barcelona,2009,4,2009-T4,402.0
Barcelona,2010,1,2010-T1,318.0
Barcelona,2010,2,2010-T2,391.0
Barcelona,2010,3,2010-T3,142.0
Barcelona,2010,4,2010-T4,281.0
Barcelona,2011,1,2011-T1,205.0
Barcelona,2011,2,2011-T2,299.0
Barcelona,2011,3,2011-T3,208.0
Barcelona,2011,4,2011-T4,261.0
Barcelona,2012,1,2012-T1,175.0
Barcelona,2012,2,2012-T2,196.0
Barcelona,2012,3,2012-T3,185.0
Barcelona,2012,4,2012-T4,184.0
Barcelona,2013,1,2013-T1,158.0
Barcelona,2013,2,2013-T2,239.0
Barcelona,2013,3,2013-T3,264.0
Barcelona,2013,4,2013-T4,316.0
Barcelona,2014,1,2014-T1,243.0
Barcelona,2014,2,2014-T2,277.0
Barcelona,2014,3,2014-T3,277.0
Barcelona,2014,4,2014-T4,427.0
Barcelona,2015,1,2015-T1,319.0
Barcelona,2015,2,2015-T2,346.0
Barcelona,2015,3,2015-T3,316.0
Barcelona,2015,4,2015-T4,338.0
Barcelona,2016,1,2016-T1,336.0
Barcelona,2016,2,2016-T2,493.0
Barcelona,2016,3,2016-T3,347.0
Barcelona,2016,4,2016-T4,555.0
Barcelona,2017,1,2017-T1,406.0
Barcelona,2017,2,2017-T2,622.0
Barcelona,2017,3,2017-T3,385.0
