periodo;codigo_provincia;provincia;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;indice_precios_consumo_base_2015;pct_35_64;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas
2023T1;5;Ávila;20487,0;22186,0;18578,0;121,39;37,84;13,9;592;16,05;79434,96;75
2023T2;5;Ávila;20487,0;22186,0;18578,0;123,32;37,84;13,9;528;19,7;86533,65;102
2023T3;5;Ávila;20487,0;22186,0;18578,0;124,4;37,84;13,9;582;18,38;84849,16;57
2023T4;5;Ávila;20487,0;22186,0;18578,0;124,86;37,84;13,9;508;16,93;86697,67;75
2024T1;5;Ávila;21267,0;22992,0;19343,0;125,39;37,84;12,32;565;15,93;91487,18;92
2024T2;5;Ávila;21267,0;22992,0;19343,0;127,5;37,84;12,32;548;25,18;82273,74;109
2024T3;5;Ávila;21267,0;22992,0;19343,0;126,69;37,84;12,32;664;20,93;87883,18;91
2024T4;5;Ávila;21267,0;22992,0;19343,0;127,55;37,84;12,32;771;25,29;97659,02;102
2015T1;6;Badajoz;13362,0;14391,0;12069,0;99,2;39,33;-1,37;936;22,33;69993,12;242
2015T2;6;Badajoz;13362,0;14391,0;12069,0;101,04;39,33;-1,37;864;20,6;65129,66;261
2015T3;6;Badajoz;13362,0;14391,0;12069,0;99,46;39,33;-1,37;829;13,63;71508,95;332
2015T4;6;Badajoz;13362,0;14391,0;12069,0;100,29;39,33;-1,37;812;14,78;69177,84;253
2016T1;6;Badajoz;13550,0;14626,0;12220,0;98,17;39,76;-1,54;1068;13,39;75961,72;290
2016T2;6;Badajoz;13550,0;14626,0;12220,0;100,02;39,76;-1,54;1071;12,32;71467,55;405
2016T3;6;Badajoz;13550,0;14626,0;12220,0;99,39;39,76;-1,54;969;8,57;72677,84;374
2016T4;6;Badajoz;13550,0;14626,0;12220,0;101,28;39,76;-1,54;1022;12,13;70367,59;421
2017T1;6;Badajoz;13868,0;15009,0;12459,0;100,73;39,97;-0,33;1094;9,42;75166,31;260
2017T2;6;Badajoz;13868,0;15009,0;12459,0;101,73;39,97;-0,33;1109;10,01;70154,73;409
2017T3;6;Badajoz;13868,0;15009,0;12459,0;100,62;39,97;-0,33;1100;12,45;72910,6;420
2017T4;6;Badajoz;13868,0;15009,0;12459,0;102,4;39,97;-0,33;1008;9,62;74565,74;363
2018T1;6;Badajoz;14435,0;15649,0;12953,0;101,34;40,16;1,0;1006;9,44;75066,5;293
2018T2;6;Badajoz;14435,0;15649,0;12953,0;103,37;40,16;1,0;1263;11,01;79773,77;516
2018T3;6;Badajoz;14435,0;15649,0;12953,0;102,89;40,16;1,0;1250;11,6;81487,78;424
2018T4;6;Badajoz;14435,0;15649,0;12953,0;104,17;40,16;1,0;1116;12,37;79804,12;374
2019T1;6;Badajoz;15254,0;16533,0;13711,0;102,4;40,33;2,19;1363;12,33;72289,75;337
2019T2;6;Badajoz;15254,0;16533,0;13711,0;104,32;40,33;2,19;1490;23,69;78066,67;611
2019T3;6;Badajoz;15254,0;16533,0;13711,0;102,82;40,33;2,19;1013;8,79;79062,98;582
2019T4;6;Badajoz;15254,0;16533,0;13711,0;104,54;40,33;2,19;1052;19,39;86139,84;359
2020T1;6;Badajoz;15503,0;16641,0;14118,0;102,97;40,48;1,52;1280;15,16;84119,51;338
2020T2;6;Badajoz;15503,0;16641,0;14118,0;103,59;40,48;1,52;721;17,2;82032,1;347
2020T3;6;Badajoz;15503,0;16641,0;14118,0;102,62;40,48;1,52;1270;13,23;84477,8;302
2020T4;6;Badajoz;15503,0;16641,0;14118,0;103,76;40,48;1,52;1363;12,84;77916,07;403
2021T1;6;Badajoz;16195,0;17459,0;14686,0;103,7;40,57;0,36;1476;13,55;80017,41;448
2021T2;6;Badajoz;16195,0;17459,0;14686,0;106,54;40,57;0,36;1476;10,7;81577,95;687
2021T3;6;Badajoz;16195,0;17459,0;14686,0;106,49;40,57;0,36;1511;13,17;86203,21;524
2021T4;6;Badajoz;16195,0;17459,0;14686,0;110,44;40,57;0,36;1555;15,56;87785,47;433
2022T1;6;Badajoz;17040,0;18469,0;15368,0;112,62;40,64;4,16;1645;11,98;83756,9;345
2022T2;6;Badajoz;17040,0;18469,0;15368,0;116,76;40,64;4,16;1690;12,66;84283,61;424
2022T3;6;Badajoz;17040,0;18469,0;15368,0;118,35;40,64;4,16;1556;10,22;88579,08;468
2022T4;6;Badajoz;17040,0;18469,0;15368,0;118,86;40,64;4,16;1565;8,31;90241,49;319
2023T1;6;Badajoz;18069,0;19529,0;16376,0;118,51;40,79;4,45;1634;11,38;85615,45;271
2023T2;6;Badajoz;18069,0;19529,0;16376,0;120,55;40,79;4,45;1589;14,85;84993,48;285
2023T3;6;Badajoz;18069,0;19529,0;16376,0;121,46;40,79;4,45;1263;11,88;95228,89;298
2023T4;6;Badajoz;18069,0;19529,0;16376,0;122,38;40,79;4,45;1451;11,23;85502,08;390
2024T1;6;Badajoz;18927,0;20433,0;17207,0;122,73;40,79;3,73;1430;6,85;92203,25;561
2024T2;6;Badajoz;18927,0;20433,0;17207,0;124,82;40,79;3,73;1628;13,39;84318,76;410
2024T3;6;Badajoz;18927,0;20433,0;17207,0;123,95;40,79;3,73;1760;12,33;89314,55;614
2024T4;6;Badajoz;18927,0;20433,0;17207,0;125,11;40,79;3,73;1890;10,0;86966,05;409
2015T1;7;Balears, Illes;17529,0;19109,0;15799,0;98,83;42,65;4,43;2525;22,38;119315,31;628
2015T2;7;Balears, Illes;17529,0;19109,0;15799,0;100,65;42,65;4,43;2469;22,48;121059,85;981
2015T3;7;Balears, Illes;17529,0;19109,0;15799,0;100,37;42,65;4,43;2755;21,81;110405,36;603
2015T4;7;Balears, Illes;17529,0;19109,0;15799,0;100,15;42,65;4,43;2854;20,53;120705,13;756
2016T1;7;Balears, Illes;17748,0;19382,0;15967,0;98,4;43,04;6,61;3066;22,99;144470,74;765
