provincia,anio,valor_transacciones_miles_euros,n_trimestres_disponibles
Segovia,2025,21819.03,4
Sevilla,2015,80992.90000000001,4
Sevilla,2016,120829.22,4
Sevilla,2017,125102.53,4
Sevilla,2018,107863.29000000001,4
Sevilla,2019,103045.64,4
Sevilla,2020,69691.69,4
Sevilla,2021,185644.79,4
Sevilla,2022,146397.26,4
Sevilla,2023,138833.97,4
Sevilla,2024,125934.78,4
Sevilla,2025,205295.18,4
Soria,2015,3226.67,4
Soria,2016,2633.48,4
Soria,2017,5959.2300000000005,4
Soria,2018,1077.06,4
Soria,2019,2019.79,4
Soria,2020,1724.41,4
Soria,2021,5575.04,4
Soria,2022,4877.5,4
Soria,2023,2430.98,4
Soria,2024,5827.04,4
Soria,2025,8411.15,4
Tarragona,2015,52072.18,4
Tarragona,2016,28592.5,4
Tarragona,2017,37829.34,4
Tarragona,2018,52988.61,4
Tarragona,2019,47043.68,4
Tarragona,2020,38307.31,4
Tarragona,2021,95292.3,4
Tarragona,2022,98199.56,4
Tarragona,2023,74173.28,4
Tarragona,2024,62784.35,4
Tarragona,2025,99299.89,4
Teruel,2015,1201.8200000000002,4
Teruel,2016,2305.69,4
Teruel,2017,1892.05,4
Teruel,2018,4002.34,4
Teruel,2019,2844.72,4
Teruel,2020,2689.25,4
Teruel,2021,2568.92,4
Teruel,2022,4611.6,4
Teruel,2023,4078.79,4
Teruel,2024,1286.6200000000001,4
Teruel,2025,8342.92,4
Toledo,2015,38566.24,4
Toledo,2016,39214.19,4
Toledo,2017,52436.67,4
Toledo,2018,54893.92,4
Toledo,2019,66562.17,4
Toledo,2020,116714.22,4
Toledo,2021,201342.62,4
Toledo,2022,102823.38,4
Toledo,2023,70944.13,4
Toledo,2024,69551.59,4
Toledo,2025,96338.15000000001,4
Valencia/València,2015,77556.01999999999,4
Valencia/València,2016,77683.93,4
Valencia/València,2017,173550.62,4
Valencia/València,2018,189031.83000000002,4
Valencia/València,2019,226637.28999999998,4
Valencia/València,2020,99125.42,4
Valencia/València,2021,156228.46,4
Valencia/València,2022,167325.47,4
Valencia/València,2023,148670.46000000002,4
Valencia/València,2024,163122.19,4
Valencia/València,2025,311078.01,4
Valladolid,2015,11474.55,4
Valladolid,2016,16564.45,4
Valladolid,2017,30667.81,4
Valladolid,2018,23860.21,4
Valladolid,2019,25059.0,4
Valladolid,2020,18622.53,4
Valladolid,2021,34676.15,4
Valladolid,2022,32130.32,4
Valladolid,2023,22397.64,4
Valladolid,2024,23429.15,4
Valladolid,2025,38865.0,4
Vizcaya,2015,62762.47,4
Vizcaya,2016,24382.86,4
Vizcaya,2017,48254.32,4
Vizcaya,2018,42709.51,4
Vizcaya,2019,42324.29,4
Vizcaya,2020,32858.44,4
Vizcaya,2021,68349.19,4
Vizcaya,2022,47372.11,4
Vizcaya,2023,70420.49,4
Vizcaya,2024,35662.63,4
Vizcaya,2025,58867.7,4
Zamora,2015,4961.89,4
Zamora,2016,1626.3100000000002,4
Zamora,2017,4841.93,4
Zamora,2018,4872.77,4
Zamora,2019,4170.45,4
Zamora,2020,4402.61,4
Zamora,2021,7859.91,4
Zamora,2022,2302.7000000000003,4
Zamora,2023,5488.51,4
Zamora,2024,2709.33,4
Zamora,2025,5095.23,4
Zaragoza,2015,48455.1,4
Zaragoza,2016,62145.82,4
Zaragoza,2017,38269.83,4
Zaragoza,2018,40061.09,4
Zaragoza,2019,39541.66,4
Zaragoza,2020,34313.31,4
Zaragoza,2021,166917.61,4
Zaragoza,2022,42314.09,4
Zaragoza,2023,44772.479999999996,4
Zaragoza,2024,46621.18,4
Zaragoza,2025,69725.31999999999,4
Álava,2015,13825.779999999999,4
Álava,2016,13686.93,4
Álava,2017,8648.65,4
Álava,2018,11968.83,4
Álava,2019,14462.359999999999,4
Álava,2020,25660.239999999998,4
Álava,2021,29155.21,4
Álava,2022,39917.63,4
Álava,2023,15062.88,4
Álava,2024,42973.78,4
Álava,2025,23135.65,4
