provincia,anio,trimestre,periodo,precio_suelo_m2
Barcelona,2017,2,2017-T2,246.77
Barcelona,2017,3,2017-T3,239.44
Barcelona,2017,4,2017-T4,242.71
Barcelona,2018,1,2018-T1,237.09
Barcelona,2018,2,2018-T2,215.24
Barcelona,2018,3,2018-T3,228.31
Barcelona,2018,4,2018-T4,214.35
Barcelona,2019,1,2019-T1,215.3
Barcelona,2019,2,2019-T2,226.1
Barcelona,2019,3,2019-T3,223.53
Barcelona,2019,4,2019-T4,225.18
Barcelona,2020,1,2020-T1,215.65
Barcelona,2020,2,2020-T2,202.73
Barcelona,2020,3,2020-T3,195.87
Barcelona,2020,4,2020-T4,187.65
Barcelona,2021,1,2021-T1,186.8
Barcelona,2021,2,2021-T2,204.94
Barcelona,2021,3,2021-T3,180.91
Barcelona,2021,4,2021-T4,201.33
Barcelona,2022,1,2022-T1,203.77
Barcelona,2022,2,2022-T2,211.18
Barcelona,2022,3,2022-T3,186.03
Barcelona,2022,4,2022-T4,211.8
Barcelona,2023,1,2023-T1,192.3
Barcelona,2023,2,2023-T2,169.57
Barcelona,2023,3,2023-T3,199.16
Barcelona,2023,4,2023-T4,186.29
Barcelona,2024,1,2024-T1,183.48
Barcelona,2024,2,2024-T2,198.8
Barcelona,2024,3,2024-T3,206.56
Barcelona,2024,4,2024-T4,227.79
Barcelona,2025,1,2025-T1,210.66
Barcelona,2025,2,2025-T2,231.86
Barcelona,2025,3,2025-T3,221.14
Barcelona,2025,4,2025-T4,193.25
Barcelona,2026,1,2026-T1,221.09
Burgos,2004,1,2004-T1,142.02
Burgos,2004,2,2004-T2,177.86
Burgos,2004,3,2004-T3,234.82
Burgos,2004,4,2004-T4,212.42
Burgos,2005,1,2005-T1,206.63
Burgos,2005,2,2005-T2,221.15
Burgos,2005,3,2005-T3,150.33
Burgos,2005,4,2005-T4,197.94
Burgos,2006,1,2006-T1,178.14
Burgos,2006,2,2006-T2,191.27
Burgos,2006,3,2006-T3,146.72
Burgos,2006,4,2006-T4,163.21
Burgos,2007,1,2007-T1,121.06
Burgos,2007,2,2007-T2,180.37
Burgos,2007,3,2007-T3,174.65
Burgos,2007,4,2007-T4,157.58
Burgos,2008,1,2008-T1,127.77
Burgos,2008,2,2008-T2,135.79
Burgos,2008,3,2008-T3,142.47
Burgos,2008,4,2008-T4,164.37
Burgos,2009,1,2009-T1,136.0
Burgos,2009,2,2009-T2,115.0
Burgos,2009,3,2009-T3,96.46
Burgos,2009,4,2009-T4,153.85
Burgos,2010,1,2010-T1,106.17
Burgos,2010,2,2010-T2,117.09
Burgos,2010,3,2010-T3,40.96
Burgos,2010,4,2010-T4,96.59
Burgos,2011,1,2011-T1,105.36
Burgos,2011,2,2011-T2,119.25
Burgos,2011,3,2011-T3,64.76
Burgos,2011,4,2011-T4,73.38
Burgos,2012,1,2012-T1,116.98
Burgos,2012,2,2012-T2,77.41
Burgos,2012,3,2012-T3,64.74
Burgos,2012,4,2012-T4,48.4
Burgos,2013,1,2013-T1,61.03
Burgos,2013,2,2013-T2,30.11
Burgos,2013,3,2013-T3,66.79
Burgos,2013,4,2013-T4,36.83
Burgos,2014,1,2014-T1,67.98
Burgos,2014,2,2014-T2,53.06
Burgos,2014,3,2014-T3,85.86
Burgos,2014,4,2014-T4,52.82
Burgos,2015,1,2015-T1,63.95
Burgos,2015,2,2015-T2,70.44
Burgos,2015,3,2015-T3,56.09
