codigo_provincia,provincia,anio,ipva_indice_general,ipva_indice_colectiva,ipva_indice_unifamiliar,ipva_variacion_anual_general,ipva_variacion_anual_colectiva,ipva_variacion_anual_unifamiliar
28,Madrid,2015,100.0,100.0,100.0,0.4,0.4,0.8
28,Madrid,2016,101.755,101.787,101.305,1.8,1.8,1.3
28,Madrid,2017,103.653,103.701,102.999,1.9,1.9,1.7
28,Madrid,2018,106.485,106.612,104.718,2.7,2.8,1.7
28,Madrid,2019,110.717,110.998,106.716,4.0,4.1,1.9
28,Madrid,2020,111.433,111.724,107.279,0.6,0.7,0.5
28,Madrid,2021,112.539,112.774,109.206,1.0,0.9,1.8
28,Madrid,2022,115.294,115.529,111.966,2.4,2.4,2.5
28,Madrid,2023,118.178,118.443,114.383,2.5,2.5,2.2
28,Madrid,2024,122.246,122.559,117.708,3.4,3.5,2.9
29,Málaga,2015,100.0,100.0,100.0,0.3,0.2,0.9
29,Málaga,2016,102.445,102.517,101.993,2.4,2.5,2.0
29,Málaga,2017,104.819,104.823,104.804,2.3,2.2,2.8
29,Málaga,2018,108.35,108.405,108.019,3.4,3.4,3.1
29,Málaga,2019,113.084,113.537,110.299,4.4,4.7,2.1
29,Málaga,2020,113.848,114.407,110.402,0.7,0.8,0.1
29,Málaga,2021,115.982,116.541,112.534,1.9,1.9,1.9
29,Málaga,2022,119.999,120.685,115.801,3.5,3.6,2.9
29,Málaga,2023,124.222,125.01,119.414,3.5,3.6,3.1
29,Málaga,2024,130.319,131.256,124.622,4.9,5.0,4.4
30,Murcia,2015,100.0,100.0,100.0,-0.3,-0.2,-0.5
30,Murcia,2016,101.493,101.498,101.468,1.5,1.5,1.5
30,Murcia,2017,102.814,103.01,101.975,1.3,1.5,0.5
30,Murcia,2018,104.953,105.251,103.682,2.1,2.2,1.7
30,Murcia,2019,108.057,108.594,105.779,3.0,3.2,2.0
30,Murcia,2020,109.418,110.014,106.892,1.3,1.3,1.1
30,Murcia,2021,111.978,112.749,108.746,2.3,2.5,1.7
30,Murcia,2022,114.904,115.905,110.735,2.6,2.8,1.8
30,Murcia,2023,117.657,118.817,112.829,2.4,2.5,1.9
30,Murcia,2024,121.613,122.994,115.868,3.4,3.5,2.7
32,Ourense,2015,100.0,100.0,100.0,-0.2,-0.2,1.2
32,Ourense,2016,100.68,100.686,100.592,0.7,0.7,0.6
32,Ourense,2017,101.614,101.654,101.033,0.9,1.0,0.4
32,Ourense,2018,102.795,102.793,102.792,1.2,1.1,1.7
32,Ourense,2019,105.283,105.305,104.937,2.4,2.4,2.1
